Date,Price,Open,High,Low,Vol.,Change %,
20-Apr-18,8867.00,8292.30,8926.20,8224.50,225.96K,6.95%,
19-Apr-18,8290.80,8179.00,8303.70,8126.70,155.08K,1.37%,
18-Apr-18,8178.40,7908.50,8227.60,7895.30,163.26K,3.41%,
17-Apr-18,7908.60,8070.00,8171.70,7852.80,162.59K,-2.00%,
16-Apr-18,8070.00,8362.20,8412.90,7908.50,197.70K,-3.51%,
13-Apr-18,7887.40,7926.90,8228.00,7756.60,296.95K,-0.49%,
12-Apr-18,7926.60,6963.30,8009.60,6779.30,398.30K,13.85%,
11-Apr-18,6962.10,6855.60,6988.60,6818.40,142.07K,1.56%,
10-Apr-18,6854.80,6782.60,6899.50,6671.60,134.23K,1.08%,
9-Apr-18,6781.90,7035.70,7192.50,6633.20,241.19K,-3.54%,
6-Apr-18,6624.30,6783.70,6859.70,6523.40,174.90K,-2.33%,
5-Apr-18,6782.00,6808.70,6918.20,6592.50,221.70K,-0.40%,
4-Apr-18,6808.90,7423.80,7432.90,6726.90,239.51K,-8.29%,
3-Apr-18,7424.20,7067.20,7519.30,7032.90,230.80K,5.03%,
2-Apr-18,7068.40,6825.40,7121.30,6787.60,199.31K,3.56%,
29-Mar-18,7129.20,7955.20,7980.70,6954.90,348.75K,-10.38%,
28-Mar-18,7954.90,7803.00,8110.40,7754.50,167.36K,1.96%,
27-Mar-18,7801.70,8146.50,8218.30,7760.60,223.10K,-4.20%,
26-Mar-18,8143.50,8474.00,8515.70,7865.90,247.18K,-3.89%,
23-Mar-18,8916.80,8725.30,8917.00,8305.60,210.11K,2.18%,
22-Mar-18,8726.20,8903.70,9096.20,8499.10,223.01K,-2.02%,
21-Mar-18,8905.90,8912.40,9173.40,8775.10,218.19K,-0.08%,
20-Mar-18,8912.60,8614.10,9039.60,8326.80,253.44K,3.43%,
19-Mar-18,8616.80,8200.90,8698.30,8127.70,316.96K,5.07%,
16-Mar-18,8289.20,8264.30,8604.80,7929.10,236.13K,0.30%,
15-Mar-18,8264.40,8210.20,8427.00,7691.70,326.53K,0.66%,
14-Mar-18,8210.60,9154.90,9353.40,7958.50,305.45K,-10.32%,
13-Mar-18,9154.90,9138.70,9482.00,8875.10,239.46K,0.19%,
12-Mar-18,9137.40,9535.80,9892.20,8804.10,257.91K,-4.12%,
9-Mar-18,9217.00,9301.90,9420.50,8351.00,371.46K,-0.89%,
8-Mar-18,9300.00,9910.70,10109.00,9037.00,256.26K,-6.09%,
7-Mar-18,9902.90,10779.00,10899.00,9422.10,284.54K,-7.23%,
6-Mar-18,10675.10,11314.20,11316.40,10412.00,230.65K,-5.78%,
5-Mar-18,11330.60,11415.70,11506.90,11281.20,162.11K,-0.75%,
2-Mar-18,10827.70,10904.50,11167.00,10677.10,201.69K,-0.70%,
1-Mar-18,10904.50,10335.10,11047.80,10248.70,188.77K,5.52%,
28-Feb-18,10333.90,10584.40,11070.70,10303.40,215.22K,-2.46%,
