Date,Price,Open,High,Low,Vol.,Change %,
20-Apr-18,534.8,532,537.3,530.5,5.89K,0.07%,
19-Apr-18,534.4,526,535.1,525.1,8.94K,1.52%,
18-Apr-18,526.4,521.4,527.5,520.6,13.60K,0.98%,
17-Apr-18,521.3,521.1,524.6,520.4,8.91K,0.10%,
16-Apr-18,520.8,522.6,522.7,520.7,5.91K,-0.55%,
13-Apr-18,523.7,525.5,526.3,522.5,7.40K,-0.23%,
12-Apr-18,524.9,524,525.5,522.7,8.76K,0.29%,
11-Apr-18,523.4,527.1,528.1,522.4,8.84K,-0.70%,
10-Apr-18,527.1,531.6,531.6,526.7,9.08K,-0.73%,
9-Apr-18,531,531.2,534.1,530.8,8.00K,-0.15%,
6-Apr-18,531.8,528.7,532.2,526.6,11.58K,0.53%,
5-Apr-18,529,527.8,530,527.2,6.56K,0.11%,
4-Apr-18,528.4,526.3,529.6,521.3,16.28K,0.36%,
3-Apr-18,526.5,524.3,527.8,524.3,9.10K,0.32%,
2-Apr-18,524.8,522.8,525.9,522.3,8.19K,0.40%,
29-Mar-18,522.7,520.9,525.9,517.7,15.19K,0.17%,
28-Mar-18,521.8,522.5,522.5,519.8,7.94K,-0.21%,
27-Mar-18,522.9,522.1,525.2,521.8,7.75K,0.04%,
26-Mar-18,522.7,520.6,523.3,519.4,5.71K,0.40%,
23-Mar-18,520.6,518.8,521.1,516.7,9.17K,0.29%,
22-Mar-18,519.1,520.3,521.4,518.1,4.96K,-0.36%,
21-Mar-18,521,519.8,522.3,518.7,7.09K,0.23%,
20-Mar-18,519.8,517.7,521.5,516.8,5.31K,0.41%,
19-Mar-18,517.7,522.1,522.8,517.3,7.30K,-1.03%,
16-Mar-18,523.1,521,524.7,521,6.31K,0.21%,
15-Mar-18,522,517.4,523.8,517.2,7.51K,1.75%,
14-Mar-18,513,513,513,513,-,-0.48%,
13-Mar-18,515.5,515.5,515.5,515.5,-,1.68%,
12-Mar-18,507,507,507,507,-,-0.49%,
9-Mar-18,509.5,509.5,509.5,509.5,-,-1.30%,
8-Mar-18,516.2,516.2,516.2,516.2,-,-0.08%,
7-Mar-18,516.6,516.6,516.6,516.6,0.10K,-0.79%,
6-Mar-18,520.7,520.7,520.7,520.7,0.01K,-1.48%,
5-Mar-18,528.5,528.5,528.5,528.5,0.10K,0.96%,
2-Mar-18,523.5,523.5,523.5,523.5,-,0.36%,
1-Mar-18,521.6,521.6,521.6,521.6,0.45K,0.25%,
28-Feb-18,520.3,519.2,520.2,518.7,1.05K,0.58%,
