"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","376.50","381.25","381.75","376.25","-","-1.44%"
"Apr 19, 2018","382.00","382.75","383.50","380.75","113.02K","-0.26%"
"Apr 18, 2018","383.00","380.75","383.50","380.00","142.85K","0.72%"
"Apr 17, 2018","380.25","383.00","384.50","379.75","239.87K","-0.59%"
"Apr 16, 2018","382.50","385.00","386.25","382.00","175.61K","-0.97%"
"Apr 13, 2018","386.25","388.50","389.25","385.00","233.79K","-0.64%"
"Apr 12, 2018","388.75","386.50","389.25","385.00","201.80K","0.45%"
"Apr 11, 2018","387.00","389.25","390.50","385.75","158.05K","-0.58%"
"Apr 10, 2018","389.25","390.00","392.25","388.50","272.80K","-0.38%"
"Apr 09, 2018","390.75","389.75","392.50","388.75","215.39K","0.58%"
"Apr 06, 2018","388.50","382.00","390.00","382.00","309.02K","-0.26%"
"Apr 05, 2018","389.50","382.00","389.50","380.75","263.91K","2.23%"
"Apr 04, 2018","381.00","388.00","389.00","372.00","367.00K","-1.93%"
"Apr 03, 2018","388.50","387.00","392.00","386.75","211.50K","0.32%"
"Apr 02, 2018","387.25","389.25","392.50","387.00","207.53K","-0.13%"
"Mar 29, 2018","387.75","373.75","389.25","373.75","377.91K","3.82%"
"Mar 28, 2018","373.50","374.25","375.00","372.00","173.54K","-0.13%"
"Mar 27, 2018","374.00","374.00","376.00","372.25","134.33K","0.00%"
"Mar 26, 2018","374.00","378.50","380.75","373.50","183.53K","-0.86%"
"Mar 23, 2018","377.25","376.25","378.25","369.25","279.20K","0.33%"
"Mar 22, 2018","376.00","375.50","377.50","374.00","161.68K","0.27%"
"Mar 21, 2018","375.00","375.00","375.75","373.75","149.27K","0.13%"
"Mar 20, 2018","374.50","375.25","377.00","373.25","204.62K","-0.13%"
"Mar 19, 2018","375.00","382.00","382.00","374.75","245.78K","-2.02%"
"Mar 16, 2018","382.75","386.25","387.50","382.50","150.93K","-1.03%"
"Mar 15, 2018","386.75","388.25","390.75","385.50","182.45K","0.85%"
"Mar 14, 2018","383.50","386.50","386.50","384.25","0.24K","-0.52%"
"Mar 13, 2018","385.50","383.75","388.75","383.50","2.04K","0.33%"
"Mar 12, 2018","384.25","382.75","384.25","380.50","1.46K","0.33%"
"Mar 09, 2018","383.00","385.00","385.25","382.50","2.98K","-0.71%"
"Mar 08, 2018","385.75","378.50","385.75","378.00","2.39K","1.71%"
"Mar 07, 2018","379.25","378.75","380.75","378.50","4.26K","-0.13%"
"Mar 06, 2018","379.75","377.75","380.25","377.25","2.30K","0.40%"
"Mar 05, 2018","378.25","376.25","378.50","374.75","8.18K","0.27%"
"Mar 02, 2018","377.25","377.75","380.25","376.00","5.92K","-0.40%"
"Mar 01, 2018","378.75","374.00","379.00","372.00","8.65K","1.13%"
"Feb 28, 2018","374.50","370.50","376.75","369.75","20.80K","1.08%"
"Feb 27, 2018","370.50","368.25","371.00","367.75","240.12K","0.54%"
"Feb 26, 2018","368.50","366.50","370.00","366.50","318.91K","0.61%"
"Feb 23, 2018","366.25","366.25","367.75","365.25","212.35K","-0.14%"
"Feb 22, 2018","366.75","365.50","367.00","364.25","229.12K","0.27%"
"Feb 21, 2018","365.75","365.75","368.50","364.25","266.66K","0.07%"
"Feb 20, 2018","365.50","369.00","370.00","365.25","319.32K","-0.48%"
"Feb 19, 2018","367.25","367.25","367.25","367.25","-","0.00%"
"Feb 18, 2018","367.25","367.25","367.25","367.25","-","-0.07%"
"Feb 16, 2018","367.50","368.00","368.50","366.50","185.26K","-0.07%"
"Feb 15, 2018","367.75","367.00","368.75","365.50","193.48K","0.14%"
"Feb 14, 2018","367.25","366.50","368.50","364.75","173.64K","0.14%"
"Feb 13, 2018","366.75","366.50","368.50","366.00","257.67K","-0.07%"
"Feb 12, 2018","367.00","365.00","367.00","364.25","264.08K","1.38%"
"Feb 09, 2018","362.00","364.75","365.50","361.50","254.70K","-1.03%"
"Feb 08, 2018","365.75","365.00","367.75","364.50","341.48K","0.14%"
"Feb 07, 2018","365.25","363.75","365.75","362.50","478.33K","0.48%"
"Feb 06, 2018","363.50","358.75","364.00","356.25","236.19K","1.32%"
"Feb 05, 2018","358.75","359.50","360.75","357.25","260.35K","-0.62%"
"Feb 04, 2018","361.00","361.00","361.00","361.00","-","-0.14%"
"Feb 02, 2018","361.50","361.00","362.50","359.50","198.99K","-0.07%"
"Feb 01, 2018","361.75","360.75","362.00","358.50","254.88K","0.07%"
"Jan 31, 2018","361.50","361.50","362.00","359.50","180.49K","0.00%"
"Jan 30, 2018","361.50","359.50","362.25","359.00","223.19K","0.77%"
"Jan 29, 2018","358.75","356.75","359.25","356.75","179.93K","0.63%"
"Jan 26, 2018","356.50","355.00","357.00","354.50","140.79K","0.35%"
"Jan 25, 2018","355.25","356.00","358.00","354.50","223.61K","-0.35%"
"Jan 24, 2018","356.50","351.25","357.00","349.75","326.30K","1.49%"
"Jan 23, 2018","351.25","351.75","352.00","349.50","204.57K","-0.21%"
"Jan 22, 2018","352.00","353.50","354.50","351.25","177.59K","-0.14%"
"Jan 19, 2018","352.50","351.50","354.00","351.25","145.95K","0.28%"
"Jan 18, 2018","351.50","352.50","354.00","350.50","186.65K","-0.42%"
"Jan 17, 2018","353.00","348.50","353.25","348.25","236.71K","1.36%"
"Jan 16, 2018","348.25","347.25","349.25","346.00","179.43K","0.58%"
"Jan 12, 2018","346.25","348.75","350.00","345.50","216.39K","-0.72%"
"Jan 11, 2018","348.75","349.00","350.50","348.00","159.18K","-0.07%"
"Jan 10, 2018","349.00","348.75","350.00","348.00","145.55K","0.00%"
"Jan 09, 2018","349.00","347.50","350.00","347.25","150.41K","0.50%"
"Jan 08, 2018","347.25","350.75","351.50","346.75","274.88K","-1.14%"
"Jan 05, 2018","351.25","350.75","352.25","350.25","143.91K","0.07%"
"Jan 04, 2018","351.00","353.00","353.50","350.25","179.97K","-0.57%"
"Jan 03, 2018","353.00","353.00","354.75","352.25","138.59K","-0.07%"
"Jan 02, 2018","353.25","351.25","354.00","350.50","150.14K","0.71%"
"Dec 29, 2017","350.75","351.25","351.50","350.25","100.18K","-0.36%"
"Dec 28, 2017","352.00","353.00","353.50","350.00","102.49K","-0.49%"
"Dec 27, 2017","353.75","352.00","354.25","351.75","93.75K","0.28%"
"Dec 26, 2017","352.75","352.00","353.25","351.00","65.86K","0.21%"
"Dec 22, 2017","352.00","350.75","352.50","350.50","67.47K","0.21%"
"Dec 21, 2017","351.25","349.00","351.75","348.50","110.47K","0.57%"
"Dec 20, 2017","349.25","347.50","349.75","347.25","110.06K","0.50%"
"Dec 19, 2017","347.50","346.75","348.75","346.50","82.27K","0.14%"
"Dec 18, 2017","347.00","347.25","348.75","346.50","97.58K","-0.14%"
"Dec 15, 2017","347.50","348.75","350.75","346.50","133.62K","3.35%"
"Dec 14, 2017","336.25","337.00","338.00","336.25","0.15K","-0.15%"
"Dec 13, 2017","336.75","337.25","337.50","336.50","0.36K","0.30%"
"Dec 12, 2017","335.75","336.50","340.75","335.25","0.85K","-0.22%"
"Dec 11, 2017","336.50","340.00","340.00","336.00","1.06K","-1.03%"
"Dec 08, 2017","340.00","338.50","341.25","338.50","1.28K","0.37%"
"Dec 07, 2017","338.75","339.00","340.00","337.50","2.89K","-0.15%"
"Dec 06, 2017","339.25","339.00","341.50","337.75","5.52K","-0.15%"
"Dec 05, 2017","339.75","339.75","343.00","338.50","7.54K","0.07%"
"Dec 04, 2017","339.50","344.75","346.00","338.75","9.37K","-1.52%"
"Dec 01, 2017","344.75","341.75","345.25","341.00","10.23K","0.88%"
"Nov 30, 2017","341.75","339.25","343.00","337.50","26.04K","0.81%"
"Nov 29, 2017","339.00","335.75","340.00","335.50","234.59K","0.82%"
