Date,Price,Open,High,Low,Vol.,Change %
20-Apr-18,1029.5,1036.75,1038.5,1027.75,-,-0.70%
19-Apr-18,1036.75,1041.5,1044.75,1032.75,-,-0.48%
18-Apr-18,1041.75,1046.25,1052.5,1039.25,-,-0.41%
17-Apr-18,1046,1043.25,1049,1040.25,-,0.31%
16-Apr-18,1042.75,1054.75,1058.75,1041.5,-,-0.90%
13-Apr-18,1052.25,1060.5,1067.25,1051.75,-,-0.78%
12-Apr-18,1060.5,1047.75,1061.75,1047.5,-,1.22%
11-Apr-18,1047.75,1051,1058.5,1047.25,-,-0.26%
10-Apr-18,1050.5,1046.25,1063,1045,-,0.36%
9-Apr-18,1046.75,1039,1056.75,1038.75,-,1.16%
6-Apr-18,1034.75,1012,1037,1005.25,-,2.60%
5-Apr-18,1008.5,1015.75,1034,1004.75,-,-0.66%
4-Apr-18,1015.25,1038.75,1041.5,983.5,-,-2.26%
3-Apr-18,1038.75,1035.75,1048.75,1035.75,-,0.22%
2-Apr-18,1036.5,1046,1060.5,1035.25,-,-0.79%
29-Mar-18,1044.75,1020.25,1050.5,1012.5,-,2.45%
28-Mar-18,1019.75,1019,1023.25,1015.25,-,0.07%
27-Mar-18,1019,1026.75,1031,1017.25,-,-0.80%
26-Mar-18,1027.25,1026.5,1040.25,1025.25,-,-0.05%
23-Mar-18,1027.75,1026.75,1034.25,1009.25,-,-0.12%
22-Mar-18,1029,1032,1035.5,1022.25,-,-0.07%
21-Mar-18,1029.75,1029.5,1037.25,1025,-,0.19%
20-Mar-18,1027.75,1022.75,1029.75,1022.25,-,0.49%
19-Mar-18,1022.75,1045.25,1045.25,1022,-,-2.39%
16-Mar-18,1047.75,1042,1050,1040.75,-,0.65%
15-Mar-18,1041,1031,1046,1027.75,-,0.97%
14-Mar-18,1031,1048.75,1054,1031,-,-1.67%
13-Mar-18,1048.5,1042,1052,1041.75,-,0.67%
12-Mar-18,1041.5,1036.25,1044.75,1032,-,0.46%
