"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","31.30","31.42","31.49","31.25","-","-0.35%"
"Apr 19, 2018","31.41","31.41","31.57","31.33","34.22K","-0.06%"
"Apr 18, 2018","31.43","31.25","31.43","31.16","51.06K","0.77%"
"Apr 17, 2018","31.19","31.27","31.41","31.16","47.94K","0.03%"
"Apr 16, 2018","31.18","31.48","31.58","31.14","56.19K","-0.95%"
"Apr 13, 2018","31.48","31.68","31.81","31.44","38.00K","-0.47%"
"Apr 12, 2018","31.63","31.53","31.73","31.40","53.51K","0.32%"
"Apr 11, 2018","31.53","31.85","31.92","31.44","90.56K","-1.00%"
"Apr 10, 2018","31.85","31.49","31.89","31.44","94.96K","1.05%"
"Apr 09, 2018","31.52","31.53","31.75","31.29","89.32K","-0.03%"
"Apr 06, 2018","31.53","31.63","31.77","31.46","52.43K","-0.79%"
"Apr 05, 2018","31.78","31.78","31.82","31.52","62.85K","0.32%"
"Apr 04, 2018","31.68","32.34","32.43","31.37","80.15K","-2.04%"
"Apr 03, 2018","32.34","32.01","32.73","31.95","97.08K","0.94%"
"Apr 02, 2018","32.04","32.03","32.24","31.90","44.34K","0.53%"
"Mar 29, 2018","31.87","31.62","32.15","31.42","71.90K","0.79%"
"Mar 28, 2018","31.62","31.58","31.89","31.40","49.12K","0.13%"
"Mar 27, 2018","31.58","31.46","31.64","31.35","41.86K","0.38%"
"Mar 26, 2018","31.46","31.50","31.73","31.39","48.81K","0.13%"
"Mar 23, 2018","31.42","31.86","31.98","31.37","76.29K","-1.44%"
"Mar 22, 2018","31.88","32.35","32.41","31.71","62.23K","-1.51%"
"Mar 21, 2018","32.37","31.71","32.50","31.62","80.92K","1.98%"
"Mar 20, 2018","31.74","32.06","32.15","31.52","55.56K","-1.00%"
"Mar 19, 2018","32.06","32.06","32.12","31.72","53.56K","0.25%"
"Mar 16, 2018","31.98","32.08","32.28","31.85","61.28K","-0.25%"
"Mar 15, 2018","32.06","31.73","32.15","31.64","77.28K","1.07%"
"Mar 14, 2018","31.72","32.21","32.33","31.63","-","-1.49%"
"Mar 13, 2018","32.20","31.74","32.25","31.68","-","2.03%"
"Mar 12, 2018","31.56","31.42","31.43","31.42","0.02K","0.45%"
"Mar 09, 2018","31.42","31.47","31.53","31.28","0.05K","-0.79%"
"Mar 08, 2018","31.67","31.81","31.86","31.72","0.03K","-0.81%"
"Mar 07, 2018","31.93","32.19","32.19","31.88","0.11K","-1.15%"
"Mar 06, 2018","32.30","32.26","32.31","32.06","0.22K","0.91%"
"Mar 05, 2018","32.01","32.15","32.25","31.97","1.01K","-0.16%"
"Mar 02, 2018","32.06","32.09","32.63","32.05","0.64K","-0.19%"
"Mar 01, 2018","32.12","32.04","32.30","31.66","2.90K","0.50%"
"Feb 28, 2018","31.96","32.22","32.40","31.94","7.91K","-0.71%"
"Feb 27, 2018","32.19","32.62","32.65","32.14","41.41K","-1.32%"
"Feb 26, 2018","32.62","32.36","32.72","32.36","65.57K","0.80%"
"Feb 23, 2018","32.36","32.10","32.55","32.05","45.89K","1.00%"
"Feb 22, 2018","32.04","32.09","32.18","31.90","37.83K","-0.09%"
"Feb 21, 2018","32.07","31.85","32.26","31.73","68.37K","0.66%"
"Feb 20, 2018","31.86","31.64","31.89","31.42","64.71K","1.17%"
"Feb 19, 2018","31.49","31.49","31.49","31.49","-","0.00%"
"Feb 18, 2018","31.49","31.49","31.49","31.49","-","-0.16%"
"Feb 16, 2018","31.54","31.78","31.84","31.48","62.08K","-0.50%"
"Feb 15, 2018","31.70","31.80","31.97","31.60","71.83K","-0.31%"
"Feb 14, 2018","31.80","31.56","31.86","31.42","63.51K","0.73%"
"Feb 13, 2018","31.57","31.83","32.01","31.40","125.19K","-0.88%"
"Feb 12, 2018","31.85","32.15","32.36","31.81","99.13K","-0.34%"
"Feb 09, 2018","31.96","32.25","32.53","31.94","84.52K","-0.78%"
"Feb 08, 2018","32.21","32.71","32.71","32.19","91.19K","-1.07%"
"Feb 07, 2018","32.56","33.20","33.29","32.49","125.00K","-1.81%"
"Feb 06, 2018","33.16","32.53","33.31","32.36","96.35K","2.03%"
"Feb 05, 2018","32.50","32.52","32.79","32.39","58.25K","-0.06%"
"Feb 04, 2018","32.52","32.52","32.52","32.52","-","0.03%"
