"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","463.50","476.50","476.75","462.25","-","-2.73%"
"Apr 19, 2018","476.50","476.75","480.00","472.00","-","0.00%"
"Apr 18, 2018","476.50","466.25","477.25","465.50","-","2.25%"
"Apr 17, 2018","466.00","463.50","470.75","461.75","-","0.65%"
"Apr 16, 2018","463.00","466.50","470.00","461.50","-","-2.22%"
"Apr 13, 2018","473.50","480.50","480.50","469.50","-","-1.46%"
"Apr 12, 2018","480.50","484.25","484.50","475.00","-","-0.72%"
"Apr 11, 2018","484.00","491.00","492.00","483.00","-","-1.38%"
"Apr 10, 2018","490.75","491.00","494.00","482.75","-","-0.15%"
"Apr 09, 2018","491.50","477.25","493.50","475.00","-","4.13%"
"Apr 06, 2018","472.00","461.25","472.75","459.25","-","2.39%"
"Apr 05, 2018","461.00","457.50","465.50","456.50","-","0.77%"
"Apr 04, 2018","457.50","456.25","461.50","447.25","-","0.22%"
"Apr 03, 2018","456.50","448.25","463.50","448.25","-","1.78%"
"Apr 02, 2018","448.50","454.00","457.25","445.75","-","-0.72%"
"Mar 29, 2018","451.75","447.00","455.75","441.50","-","1.18%"
"Mar 28, 2018","446.50","449.50","452.50","444.50","-","-0.56%"
"Mar 27, 2018","449.00","454.25","457.50","448.75","-","-1.16%"
"Mar 26, 2018","454.25","462.75","463.50","451.25","-","-1.25%"
"Mar 23, 2018","460.00","455.00","461.50","446.50","-","0.77%"
"Mar 22, 2018","456.50","454.25","459.75","451.50","-","0.50%"
"Mar 21, 2018","454.25","453.75","454.50","446.75","-","0.22%"
"Mar 20, 2018","453.25","451.50","457.50","451.50","-","0.22%"
"Mar 19, 2018","452.25","465.00","466.00","450.25","-","-3.37%"
"Mar 16, 2018","468.00","478.00","482.25","467.00","-","-2.40%"
"Mar 15, 2018","479.50","489.50","493.25","476.00","-","-2.04%"
"Mar 14, 2018","489.50","485.50","490.50","483.00","-","0.67%"
"Mar 13, 2018","486.25","490.25","498.00","484.75","-","-0.77%"
"Mar 12, 2018","490.00","488.50","492.75","483.00","-","-0.05%"
"Mar 09, 2018","490.25","499.25","499.25","486.00","-","-1.80%"
"Mar 08, 2018","499.25","497.50","502.50","490.25","-","0.35%"
"Mar 07, 2018","497.50","506.00","509.75","496.00","-","-1.68%"
"Mar 06, 2018","506.00","507.00","507.50","495.50","-","-0.20%"
"Mar 05, 2018","507.00","507.75","510.25","495.25","-","1.60%"
"Mar 02, 2018","499.00","516.00","518.50","493.25","-","-3.29%"
"Mar 01, 2018","516.00","495.50","517.75","489.50","-","4.77%"
"Feb 28, 2018","492.50","477.50","499.50","476.50","-","3.14%"
"Feb 27, 2018","477.50","473.75","479.00","473.50","-","0.79%"
"Feb 26, 2018","473.75","468.75","476.75","467.75","-","4.81%"
"Feb 23, 2018","452.00","450.75","456.25","450.75","-","0.28%"
"Feb 22, 2018","450.75","447.50","451.75","445.25","-","0.73%"
"Feb 21, 2018","447.50","449.25","452.00","445.50","-","-0.39%"
"Feb 20, 2018","449.25","458.00","463.25","449.00","-","-1.91%"
"Feb 19, 2018","458.00","458.00","458.00","458.00","-","0.00%"
"Feb 18, 2018","458.00","458.00","458.00","458.00","-","0.00%"
"Feb 16, 2018","458.00","461.50","464.50","456.75","-","-0.76%"
"Feb 15, 2018","461.50","455.25","463.50","452.25","-","1.48%"
"Feb 14, 2018","454.75","458.25","460.50","453.75","-","-0.98%"
"Feb 13, 2018","459.25","464.25","467.25","459.00","-","-1.08%"
"Feb 12, 2018","464.25","452.50","465.00","451.50","-","3.34%"
"Feb 09, 2018","449.25","456.50","456.50","448.25","-","-1.59%"
"Feb 08, 2018","456.50","461.00","464.50","451.50","-","-0.98%"
"Feb 07, 2018","461.00","446.75","461.75","446.75","-","3.19%"
"Feb 06, 2018","446.75","442.00","447.75","438.75","-","1.07%"
"Feb 05, 2018","442.00","447.00","447.00","438.75","-","-1.12%"
"Feb 04, 2018","447.00","447.00","447.00","447.00","-","0.00%"
"Feb 02, 2018","447.00","451.25","451.25","445.00","-","-0.94%"
"Feb 01, 2018","451.25","451.50","451.50","443.25","-","-0.06%"
"Jan 31, 2018","451.50","458.00","458.75","447.50","-","-1.42%"
"Jan 30, 2018","458.00","449.00","458.25","449.00","-","2.00%"
"Jan 29, 2018","449.00","443.50","449.75","443.50","-","1.53%"
"Jan 26, 2018","442.25","434.25","442.50","434.25","-","1.84%"
