"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","137.30","137.28","138.62","136.47","0.84K","0.06%"
"Apr 19, 2018","137.22","138.50","138.53","136.90","0.98K","-1.10%"
"Apr 18, 2018","138.75","138.93","139.32","138.32","0.45K","0.02%"
"Apr 17, 2018","138.72","139.22","140.10","138.22","0.73K","-0.36%"
"Apr 16, 2018","139.22","139.90","141.30","139.00","0.85K","-0.11%"
"Apr 13, 2018","139.38","139.38","139.97","135.97","1.12K","0.36%"
"Apr 12, 2018","138.88","135.97","139.50","135.97","1.38K","2.66%"
"Apr 11, 2018","135.28","135.30","136.72","134.75","1.27K","0.34%"
"Apr 10, 2018","134.82","135.12","136.38","133.50","1.60K","0.28%"
"Apr 09, 2018","134.45","136.00","138.10","134.10","1.73K","-0.64%"
"Apr 06, 2018","135.32","136.90","137.15","134.55","2.56K","-1.56%"
"Apr 05, 2018","137.47","135.03","138.38","134.80","2.69K","2.21%"
"Apr 04, 2018","134.50","130.07","135.03","128.57","3.22K","3.04%"
"Apr 03, 2018","130.53","132.03","132.93","130.38","2.01K","-1.02%"
"Apr 02, 2018","131.88","132.68","133.97","130.95","2.14K","-2.74%"
"Mar 29, 2018","135.60","136.05","136.18","135.50","0.57K","-0.27%"
"Mar 28, 2018","135.97","135.60","136.12","135.30","1.01K","0.40%"
"Mar 27, 2018","135.43","135.00","135.80","135.00","0.68K","0.37%"
"Mar 26, 2018","134.93","135.50","136.55","134.78","0.72K","-0.57%"
"Mar 23, 2018","135.70","137.85","137.85","135.50","0.98K","-1.33%"
"Mar 22, 2018","137.53","136.80","137.93","136.25","0.86K","0.55%"
"Mar 21, 2018","136.78","138.15","138.38","136.30","1.49K","-0.73%"
"Mar 20, 2018","137.78","138.72","139.18","137.35","1.53K","-0.48%"
"Mar 19, 2018","138.45","140.10","140.25","138.20","1.47K","-1.09%"
"Mar 16, 2018","139.97","140.55","141.05","139.80","1.21K","-0.46%"
"Mar 15, 2018","140.62","141.90","142.68","140.05","1.94K","-1.01%"
"Mar 14, 2018","142.05","142.18","143.60","141.65","1.36K","0.35%"
"Mar 13, 2018","141.55","142.28","142.43","140.43","1.47K","-0.44%"
"Mar 12, 2018","142.18","143.10","143.25","141.70","1.24K","-0.25%"
"Mar 09, 2018","142.53","142.65","143.07","141.03","1.73K","0.55%"
"Mar 08, 2018","141.75","143.65","144.12","141.12","2.91K","-1.41%"
"Mar 07, 2018","143.78","144.30","144.95","143.65","1.78K","-0.36%"
"Mar 06, 2018","144.30","145.25","146.40","144.15","2.47K","-0.59%"
"Mar 05, 2018","145.15","143.68","145.40","142.75","2.90K","1.02%"
"Mar 02, 2018","143.68","144.78","145.03","143.03","2.46K","-0.94%"
"Mar 01, 2018","145.05","144.90","145.47","143.60","2.67K","0.21%"
"Feb 28, 2018","144.75","146.25","147.00","144.40","3.74K","-1.23%"
"Feb 27, 2018","146.55","145.82","147.53","145.75","4.17K","0.69%"
"Feb 26, 2018","145.55","145.47","146.60","144.75","3.82K","-0.31%"
"Feb 23, 2018","146.00","146.30","146.62","145.15","5.50K","0.00%"
"Feb 22, 2018","146.00","146.38","146.85","145.75","5.14K","-0.44%"
"Feb 21, 2018","146.65","150.18","150.18","146.15","7.82K","-2.10%"
"Feb 20, 2018","149.80","150.22","150.90","149.05","5.09K","0.05%"
"Feb 16, 2018","149.72","149.90","150.18","148.88","4.02K","-0.07%"
