"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","69.95","70.15","70.75","69.90","0.34K","-0.29%"
"Apr 19, 2018","70.15","69.97","70.35","69.38","0.32K","0.43%"
"Apr 18, 2018","69.85","68.00","69.97","67.85","0.70K","2.87%"
"Apr 17, 2018","67.90","68.40","68.70","67.60","0.27K","-0.40%"
"Apr 16, 2018","68.17","69.20","69.50","68.00","0.43K","-2.20%"
"Apr 13, 2018","69.70","69.55","70.12","67.50","0.40K","28.36%"
"Apr 12, 2018","54.30","53.75","54.38","53.60","3.55K","1.88%"
"Apr 11, 2018","53.30","53.80","53.90","53.27","3.71K","-0.37%"
"Apr 10, 2018","53.50","53.25","54.10","53.25","4.88K","1.13%"
"Apr 09, 2018","52.90","52.25","53.23","52.00","4.89K","1.50%"
"Apr 06, 2018","52.12","52.65","52.70","52.05","4.78K","-0.63%"
"Apr 05, 2018","52.45","53.17","53.33","52.33","6.31K","-1.19%"
"Apr 04, 2018","53.08","51.75","53.62","50.48","9.42K","2.73%"
"Apr 03, 2018","51.67","54.35","54.40","51.35","10.89K","-4.79%"
"Apr 02, 2018","54.27","56.50","56.70","54.25","5.75K","-5.21%"
"Mar 29, 2018","57.25","57.05","57.50","56.90","7.26K","0.58%"
"Mar 28, 2018","56.92","56.85","57.40","56.75","10.02K","-1.44%"
"Mar 27, 2018","57.75","58.00","58.23","57.52","6.61K","-0.47%"
"Mar 26, 2018","58.02","58.83","59.10","57.95","7.21K","-0.68%"
"Mar 23, 2018","58.42","60.33","60.75","58.40","12.98K","-4.74%"
"Mar 22, 2018","61.33","62.62","62.73","60.85","11.43K","-2.00%"
"Mar 21, 2018","62.58","63.60","63.60","62.52","12.93K","-1.06%"
"Mar 20, 2018","63.25","63.27","63.85","62.83","11.85K","0.16%"
"Mar 19, 2018","63.15","65.25","65.25","62.98","19.58K","-3.51%"
"Mar 16, 2018","65.45","65.70","66.53","65.38","20.87K","-0.41%"
"Mar 15, 2018","65.72","66.40","66.83","65.67","21.77K","-1.73%"
"Mar 14, 2018","66.88","67.45","67.72","66.62","20.60K","-1.24%"
"Mar 13, 2018","67.72","67.67","68.85","67.42","30.59K","0.07%"
"Mar 12, 2018","67.67","67.50","67.83","66.53","25.26K","-0.27%"
"Mar 09, 2018","67.85","67.75","68.30","67.00","28.95K","-0.34%"
"Mar 08, 2018","68.08","67.17","68.17","66.62","32.94K","0.41%"
"Mar 07, 2018","67.80","68.08","68.33","66.42","34.02K","-0.59%"
"Mar 06, 2018","68.20","69.28","69.33","68.12","20.92K","-0.87%"
"Mar 05, 2018","68.80","67.92","69.10","67.65","17.96K","1.81%"
"Mar 02, 2018","67.58","67.45","68.00","66.90","21.36K","0.91%"
"Mar 01, 2018","66.97","67.50","67.83","66.88","20.88K","-0.37%"
"Feb 28, 2018","67.22","69.40","69.50","67.12","38.96K","-3.90%"
"Feb 27, 2018","69.95","70.08","70.67","69.80","20.37K","0.00%"
"Feb 26, 2018","69.95","71.15","71.95","69.90","21.41K","-2.00%"
"Feb 23, 2018","71.38","71.30","71.78","70.88","14.09K","0.14%"
"Feb 22, 2018","71.28","69.83","71.55","69.47","21.24K","1.97%"
"Feb 21, 2018","69.90","69.88","70.55","69.12","17.82K","1.01%"
"Feb 20, 2018","69.20","68.47","70.03","68.30","24.56K","1.54%"
"Feb 16, 2018","68.15","69.42","69.45","68.03","22.44K","-2.25%"
"Feb 15, 2018","69.72","70.72","71.25","69.62","18.86K","-1.32%"
"Feb 14, 2018","70.65","69.65","71.28","69.08","20.21K","-3.68%"
"Feb 13, 2018","73.35","73.30","73.45","73.10","1.83K","0.37%"
"Feb 12, 2018","73.08","73.30","73.40","73.05","2.43K","-0.12%"
"Feb 09, 2018","73.17","73.67","73.97","73.10","3.37K","-0.31%"
"Feb 08, 2018","73.40","73.85","73.85","73.33","4.24K","-0.61%"
"Feb 07, 2018","73.85","74.75","74.75","73.80","5.34K","-1.20%"
"Feb 06, 2018","74.75","75.50","75.50","74.08","9.20K","-1.42%"
"Feb 05, 2018","75.83","75.45","75.90","75.00","4.25K","0.84%"
"Feb 02, 2018","75.20","75.15","75.40","74.55","5.22K","0.49%"
"Feb 01, 2018","74.83","73.75","74.95","73.70","5.97K","2.20%"
"Jan 31, 2018","73.22","72.75","73.50","72.67","6.08K","1.06%"
"Jan 30, 2018","72.45","72.60","72.72","72.05","7.58K","0.07%"
"Jan 29, 2018","72.40","72.65","73.12","72.35","4.68K","0.17%"
"Jan 26, 2018","72.28","72.70","73.12","72.17","5.06K","-0.26%"
"Jan 25, 2018","72.47","73.33","73.72","72.15","8.14K","-0.62%"
"Jan 24, 2018","72.92","72.30","73.30","71.85","8.61K","0.93%"
"Jan 23, 2018","72.25","72.17","72.78","71.53","11.66K","0.63%"
"Jan 22, 2018","71.80","72.28","72.28","71.65","7.47K","-0.39%"
"Jan 19, 2018","72.08","73.05","73.15","72.00","13.06K","-1.33%"
"Jan 18, 2018","73.05","72.88","73.35","72.38","15.64K","0.45%"
"Jan 17, 2018","72.72","73.65","73.70","72.53","15.18K","-1.60%"
"Jan 16, 2018","73.90","72.08","74.25","72.05","20.01K","3.24%"
"Jan 12, 2018","71.58","71.00","71.83","70.95","23.46K","0.86%"
"Jan 11, 2018","70.97","72.50","72.50","70.72","30.25K","-2.15%"
"Jan 10, 2018","72.53","73.50","73.67","71.58","33.38K","-0.87%"
"Jan 09, 2018","73.17","73.33","73.45","72.45","27.39K","0.27%"
"Jan 08, 2018","72.97","71.67","73.40","71.67","30.82K","2.17%"
"Jan 05, 2018","71.42","71.50","71.65","70.90","13.32K","0.06%"
"Jan 04, 2018","71.38","71.45","71.80","70.83","16.43K","0.46%"
"Jan 03, 2018","71.05","71.10","71.20","70.20","18.30K","0.47%"
"Jan 02, 2018","70.72","72.00","72.00","70.67","19.31K","-1.48%"
"Dec 29, 2017","71.78","71.75","72.45","71.58","-","0.32%"
"Dec 28, 2017","71.55","71.10","71.85","70.70","15.19K","0.73%"
"Dec 27, 2017","71.03","71.53","71.95","70.30","19.20K","-0.70%"
"Dec 26, 2017","71.53","70.25","71.67","69.90","14.81K","2.23%"
"Dec 22, 2017","69.97","68.90","70.12","68.42","13.05K","2.03%"
"Dec 21, 2017","68.58","68.60","69.30","68.15","12.42K","0.29%"
"Dec 20, 2017","68.38","67.40","68.67","66.83","15.45K","2.21%"
"Dec 19, 2017","66.90","67.58","67.90","66.78","13.68K","-0.74%"
"Dec 18, 2017","67.40","68.85","69.92","67.30","19.76K","-1.65%"
"Dec 15, 2017","68.53","67.53","68.62","67.17","15.34K","1.35%"
"Dec 14, 2017","67.62","66.25","68.70","66.25","19.58K","5.74%"
"Dec 13, 2017","63.95","63.83","64.08","63.65","2.91K","0.31%"
"Dec 12, 2017","63.75","63.73","63.92","63.60","3.01K","0.24%"
"Dec 11, 2017","63.60","63.90","64.05","63.52","3.09K","-0.11%"
"Dec 08, 2017","63.67","63.80","64.10","63.55","4.07K","0.14%"
"Dec 07, 2017","63.58","63.98","64.30","63.50","5.78K","-0.39%"
"Dec 06, 2017","63.83","64.55","64.58","63.75","5.62K","-0.70%"
"Dec 05, 2017","64.28","65.08","65.08","63.95","5.72K","-1.03%"
"Dec 04, 2017","64.95","65.42","65.65","64.42","8.49K","-0.51%"
"Dec 01, 2017","65.28","64.60","65.70","64.40","7.12K","1.56%"
"Nov 30, 2017","64.28","65.40","65.80","64.15","8.75K","-1.23%"
"Nov 29, 2017","65.08","66.10","66.30","64.85","8.37K","-1.02%"
"Nov 28, 2017","65.75","64.50","65.95","64.17","10.63K","1.89%"
"Nov 27, 2017","64.53","63.67","64.65","63.60","7.76K","2.02%"
"Nov 24, 2017","63.25","63.20","63.67","63.12","5.14K","0.67%"
"Nov 22, 2017","62.83","61.25","62.90","60.95","9.26K","3.51%"
"Nov 21, 2017","60.70","62.45","62.73","60.58","10.26K","-2.13%"
"Nov 20, 2017","62.02","60.83","62.42","60.77","14.45K","2.26%"
"Nov 17, 2017","60.65","60.20","62.10","60.00","16.45K","0.92%"
"Nov 16, 2017","60.10","61.42","61.55","59.88","17.83K","-1.67%"
"Nov 15, 2017","61.12","60.27","61.23","59.25","24.66K","1.90%"
"Nov 14, 2017","59.98","62.40","62.40","59.90","25.61K","-3.72%"
"Nov 13, 2017","62.30","62.58","62.92","61.92","28.35K","-0.29%"
"Nov 10, 2017","62.48","63.10","63.10","62.15","30.07K","-1.09%"
"Nov 09, 2017","63.17","63.58","63.90","62.62","32.20K","-0.60%"
"Nov 08, 2017","63.55","64.12","64.25","63.35","30.05K","-0.58%"
"Nov 07, 2017","63.92","64.60","64.60","63.60","28.33K","-1.08%"
