"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","14.52","14.51","14.52","14.50","0.02K","0.07%"
"Apr 19, 2018","14.51","14.49","14.54","14.49","0.12K","0.14%"
"Apr 18, 2018","14.49","14.45","14.51","14.45","0.13K","0.07%"
"Apr 17, 2018","14.48","14.43","14.50","14.43","0.30K","0.42%"
"Apr 16, 2018","14.42","14.41","14.44","14.41","0.08K","0.07%"
"Apr 13, 2018","14.41","14.40","14.45","14.39","0.09K","0.00%"
"Apr 12, 2018","14.41","14.41","14.45","14.39","0.11K","0.07%"
"Apr 11, 2018","14.40","14.42","14.45","14.38","0.10K","-0.21%"
"Apr 10, 2018","14.43","14.49","14.49","14.42","0.12K","-0.21%"
"Apr 09, 2018","14.46","14.42","14.51","14.42","0.11K","0.35%"
"Apr 06, 2018","14.41","14.35","14.49","14.35","0.19K","0.21%"
"Apr 05, 2018","14.38","14.48","14.49","14.38","0.13K","-0.55%"
"Apr 04, 2018","14.46","14.44","14.48","14.41","0.10K","1.69%"
"Apr 03, 2018","14.22","14.23","14.23","14.22","0.09K","0.00%"
"Apr 02, 2018","14.22","14.23","14.23","14.21","0.19K","-0.07%"
"Mar 29, 2018","14.23","14.24","14.24","14.23","0.14K","0.00%"
"Mar 28, 2018","14.23","14.21","14.25","14.21","0.25K","0.07%"
"Mar 27, 2018","14.22","14.22","14.23","14.22","0.07K","0.00%"
"Mar 26, 2018","14.22","14.21","14.22","14.21","0.06K","0.07%"
"Mar 23, 2018","14.21","14.19","14.24","14.19","0.18K","0.00%"
"Mar 22, 2018","14.21","14.21","14.22","14.19","0.16K","-0.49%"
"Mar 21, 2018","14.28","14.27","14.30","14.21","0.25K","0.00%"
"Mar 20, 2018","14.28","14.30","14.31","14.28","0.06K","-0.07%"
"Mar 19, 2018","14.29","14.29","14.30","14.27","0.09K","0.07%"
"Mar 16, 2018","14.28","14.30","14.31","14.26","0.11K","-0.14%"
"Mar 15, 2018","14.30","14.25","14.30","14.25","0.10K","0.42%"
"Mar 14, 2018","14.24","14.21","14.28","14.19","0.22K","0.28%"
"Mar 13, 2018","14.20","14.17","14.22","14.16","0.15K","0.14%"
"Mar 12, 2018","14.18","14.22","14.25","14.18","0.08K","-0.07%"
"Mar 09, 2018","14.19","14.16","14.21","14.15","0.07K","0.21%"
"Mar 08, 2018","14.16","14.16","14.19","14.11","0.13K","0.21%"
"Mar 07, 2018","14.13","14.11","14.17","14.10","0.14K","-0.28%"
"Mar 06, 2018","14.17","14.14","14.20","14.12","0.15K","0.14%"
"Mar 05, 2018","14.15","14.10","14.21","14.10","0.20K","0.21%"
"Mar 02, 2018","14.12","14.08","14.12","14.05","0.16K","0.57%"
"Mar 01, 2018","14.04","14.04","14.09","13.96","0.18K","0.14%"
"Feb 28, 2018","14.02","14.10","14.16","14.00","0.15K","4.32%"
