"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","232.50","236.00","236.00","231.50","0.24K","-0.85%"
"Apr 19, 2018","234.50","235.75","236.75","233.25","0.82K","-0.64%"
"Apr 18, 2018","236.00","228.75","236.25","228.50","0.62K","3.17%"
"Apr 17, 2018","228.75","230.25","232.25","227.75","0.29K","-0.76%"
"Apr 16, 2018","230.50","233.50","234.25","225.50","0.44K","-1.60%"
"Apr 13, 2018","234.25","239.00","239.25","233.00","0.35K","-1.37%"
"Apr 12, 2018","237.50","238.75","241.00","237.00","0.36K","0.00%"
"Apr 11, 2018","237.50","236.75","239.00","235.00","0.56K","0.42%"
"Apr 10, 2018","236.50","237.50","238.25","231.00","0.52K","-0.32%"
"Apr 09, 2018","237.25","236.75","238.25","235.75","0.65K","1.71%"
"Apr 06, 2018","233.25","231.00","234.50","230.25","0.22K","0.21%"
"Apr 05, 2018","232.75","230.00","233.75","228.50","0.40K","1.20%"
"Apr 04, 2018","230.00","234.00","234.75","224.50","0.68K","-1.08%"
"Apr 03, 2018","232.50","232.75","234.50","230.25","0.69K","0.32%"
"Apr 02, 2018","231.75","226.50","233.00","226.50","1.07K","3.00%"
"Mar 29, 2018","225.00","222.75","228.25","221.50","0.72K","1.47%"
"Mar 28, 2018","221.75","226.00","226.75","221.50","0.56K","-1.88%"
"Mar 27, 2018","226.00","227.75","228.75","225.50","0.39K","-0.22%"
"Mar 26, 2018","226.50","227.50","232.25","226.50","0.48K","0.11%"
"Mar 23, 2018","226.25","228.25","229.50","222.50","0.76K","-1.09%"
"Mar 22, 2018","228.75","229.50","232.50","228.25","0.68K","-1.19%"
"Mar 21, 2018","231.50","235.75","235.75","227.50","0.72K","-1.70%"
"Mar 20, 2018","235.50","236.00","239.00","233.75","0.74K","0.21%"
"Mar 19, 2018","235.00","242.00","242.00","234.00","0.90K","-2.99%"
"Mar 16, 2018","242.25","253.50","253.50","241.75","1.05K","-3.49%"
"Mar 15, 2018","251.00","256.00","257.00","248.50","0.66K","-2.52%"
"Mar 14, 2018","257.50","264.70","265.50","255.10","-","-0.19%"
"Mar 13, 2018","258.00","262.00","262.00","254.00","0.00K","-2.09%"
"Mar 12, 2018","263.50","263.60","270.20","262.50","-","0.42%"
"Mar 09, 2018","262.40","265.40","265.90","262.10","-","-1.24%"
"Mar 08, 2018","265.70","266.10","267.50","264.50","-","0.57%"
"Mar 07, 2018","264.20","268.10","268.10","263.50","-","0.84%"
"Mar 06, 2018","262.00","265.50","265.50","261.25","0.01K","-1.04%"
"Mar 05, 2018","264.75","263.25","263.25","263.00","0.00K","-0.09%"
"Mar 02, 2018","265.00","268.75","269.50","264.00","0.01K","-1.49%"
"Mar 01, 2018","269.00","261.50","268.00","260.00","0.01K","2.28%"
"Feb 28, 2018","263.00","264.00","267.25","262.00","0.05K","1.15%"
"Feb 27, 2018","260.00","261.00","266.50","259.25","0.16K","-0.95%"
"Feb 26, 2018","262.50","261.50","263.00","260.25","0.39K","0.96%"
"Feb 23, 2018","260.00","257.00","261.25","255.25","0.23K","0.87%"
"Feb 22, 2018","257.75","258.00","264.50","256.75","0.28K","-0.19%"
"Feb 21, 2018","258.25","266.00","266.00","257.25","0.38K","-3.00%"
"Feb 20, 2018","266.25","267.00","268.50","265.25","0.29K","-0.56%"
"Feb 16, 2018","267.75","268.50","268.50","265.00","0.25K","-0.28%"
"Feb 15, 2018","268.50","266.25","269.00","264.00","0.37K","1.03%"
"Feb 14, 2018","265.75","273.75","278.00","265.00","0.50K","-2.83%"
"Feb 13, 2018","273.50","274.75","280.50","272.25","0.51K","-0.55%"
"Feb 12, 2018","275.00","268.00","275.75","267.00","0.61K","3.19%"
"Feb 09, 2018","266.50","269.75","271.00","266.00","0.31K","-1.11%"
"Feb 08, 2018","269.50","273.75","274.75","266.00","0.67K","-1.37%"
"Feb 07, 2018","273.25","270.75","274.00","269.00","0.44K","1.58%"
"Feb 06, 2018","269.00","266.25","270.75","266.00","0.25K","0.65%"
"Feb 05, 2018","267.25","266.50","272.50","266.00","0.41K","-0.09%"
"Feb 02, 2018","267.50","266.75","269.75","266.00","0.25K","0.09%"
"Feb 01, 2018","267.25","265.75","270.00","265.50","0.46K","0.66%"
"Jan 31, 2018","265.50","270.25","272.75","258.50","0.86K","-1.67%"
"Jan 30, 2018","270.00","269.75","272.75","268.75","0.46K","0.19%"
"Jan 29, 2018","269.50","265.25","270.50","261.00","0.44K","1.32%"
"Jan 26, 2018","266.00","261.00","266.50","256.50","0.55K","1.92%"
"Jan 25, 2018","261.00","276.00","279.00","259.25","1.22K","-5.26%"
"Jan 24, 2018","275.50","270.75","278.75","269.75","0.99K","2.04%"
"Jan 23, 2018","270.00","266.25","274.75","265.25","1.17K","1.89%"
"Jan 22, 2018","265.00","258.50","266.00","258.50","0.39K","2.71%"
"Jan 19, 2018","258.00","259.00","262.75","257.75","0.46K","-0.67%"
"Jan 18, 2018","259.75","255.00","261.75","254.00","0.76K","2.16%"
"Jan 17, 2018","254.25","250.25","256.00","250.25","0.66K","1.70%"
"Jan 16, 2018","250.00","249.25","252.75","249.25","0.20K","0.20%"
"Jan 12, 2018","249.50","250.00","252.00","248.75","0.38K","-0.40%"
"Jan 11, 2018","250.50","251.00","254.25","250.00","0.36K","-0.20%"
"Jan 10, 2018","251.00","249.00","254.00","247.00","0.40K","0.80%"
"Jan 09, 2018","249.00","250.25","252.50","248.00","0.48K","-0.40%"
"Jan 08, 2018","250.00","249.00","251.25","246.50","0.45K","0.60%"
"Jan 05, 2018","248.50","245.50","250.00","245.50","0.42K","1.12%"
"Jan 04, 2018","245.75","245.00","246.75","244.50","0.28K","0.51%"
"Jan 03, 2018","244.50","243.00","245.25","242.00","0.47K","0.82%"
"Jan 02, 2018","242.50","240.75","242.75","238.75","0.34K","0.62%"
"Dec 29, 2017","241.00","243.00","244.25","239.25","0.45K","-0.82%"
"Dec 28, 2017","243.00","242.50","244.75","241.75","0.30K","0.10%"
"Dec 27, 2017","242.75","244.00","247.75","242.00","0.25K","-0.21%"
"Dec 26, 2017","243.25","241.75","244.00","240.25","0.21K","0.31%"
"Dec 22, 2017","242.50","244.25","244.75","241.75","0.22K","-0.61%"
"Dec 21, 2017","244.00","244.50","245.75","242.75","0.37K","-0.41%"
