Date,Price,Open,High,Low,Vol.,Change %,,
20-Apr-18,31.3,31.42,31.49,31.25,-,-0.35%,,
19-Apr-18,31.41,31.41,31.57,31.33,34.22K,-0.06%,,
18-Apr-18,31.43,31.25,31.43,31.16,51.06K,0.77%,,
17-Apr-18,31.19,31.27,31.41,31.16,47.94K,0.03%,,
16-Apr-18,31.18,31.48,31.58,31.14,56.19K,-0.95%,,
13-Apr-18,31.48,31.68,31.81,31.44,38.00K,-0.47%,,
12-Apr-18,31.63,31.53,31.73,31.4,53.51K,0.32%,,
11-Apr-18,31.53,31.85,31.92,31.44,90.56K,-1.00%,,
10-Apr-18,31.85,31.49,31.89,31.44,94.96K,1.05%,,
9-Apr-18,31.52,31.53,31.75,31.29,89.32K,-0.03%,,
6-Apr-18,31.53,31.63,31.77,31.46,52.43K,-0.79%,,
5-Apr-18,31.78,31.78,31.82,31.52,62.85K,0.32%,,
4-Apr-18,31.68,32.34,32.43,31.37,80.15K,-2.04%,,
3-Apr-18,32.34,32.01,32.73,31.95,97.08K,0.94%,,
2-Apr-18,32.04,32.03,32.24,31.9,44.34K,0.53%,,
29-Mar-18,31.87,31.62,32.15,31.42,71.90K,0.79%,,
28-Mar-18,31.62,31.58,31.89,31.4,49.12K,0.13%,,
27-Mar-18,31.58,31.46,31.64,31.35,41.86K,0.38%,,
26-Mar-18,31.46,31.5,31.73,31.39,48.81K,0.13%,,
23-Mar-18,31.42,31.86,31.98,31.37,76.29K,-1.44%,,
22-Mar-18,31.88,32.35,32.41,31.71,62.23K,-1.51%,,
21-Mar-18,32.37,31.71,32.5,31.62,80.92K,1.98%,,
20-Mar-18,31.74,32.06,32.15,31.52,55.56K,-1.00%,,
19-Mar-18,32.06,32.06,32.12,31.72,53.56K,0.25%,,
16-Mar-18,31.98,32.08,32.28,31.85,61.28K,-0.25%,,
15-Mar-18,32.06,31.73,32.15,31.64,77.28K,1.07%,,
14-Mar-18,31.72,32.21,32.33,31.63,-,-1.49%,,
13-Mar-18,32.2,31.74,32.25,31.68,-,2.03%,,
12-Mar-18,31.56,31.42,31.43,31.42,0.02K,0.45%,,
9-Mar-18,31.42,31.47,31.53,31.28,0.05K,-0.79%,,
8-Mar-18,31.67,31.81,31.86,31.72,0.03K,-0.81%,,
7-Mar-18,31.93,32.19,32.19,31.88,0.11K,-1.15%,,
6-Mar-18,32.3,32.26,32.31,32.06,0.22K,0.91%,,
5-Mar-18,32.01,32.15,32.25,31.97,1.01K,-0.16%,,
2-Mar-18,32.06,32.09,32.63,32.05,0.64K,-0.19%,,
1-Mar-18,32.12,32.04,32.3,31.66,2.90K,0.50%,,
28-Feb-18,31.96,32.22,32.4,31.94,7.91K,-0.71%,,
27-Feb-18,32.19,32.62,32.65,32.14,41.41K,-1.32%,,
26-Feb-18,32.62,32.36,32.72,32.36,65.57K,0.80%,,
23-Feb-18,32.36,32.1,32.55,32.05,45.89K,1.00%,,
22-Feb-18,32.04,32.09,32.18,31.9,37.83K,-0.09%,,
21-Feb-18,32.07,31.85,32.26,31.73,68.37K,0.66%,,
