"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","11.64","11.74","11.78","11.57","23.24K","-0.94%"
"Apr 19, 2018","11.75","11.68","11.81","11.63","37.64K","0.09%"
"Apr 18, 2018","11.74","11.71","11.76","11.60","26.18K","0.77%"
"Apr 17, 2018","11.65","11.95","11.97","11.65","42.68K","-2.75%"
"Apr 16, 2018","11.98","12.12","12.26","11.96","68.75K","-0.83%"
"Apr 13, 2018","12.08","12.05","12.30","12.02","75.14K","0.25%"
"Apr 12, 2018","12.05","12.04","12.15","11.97","97.59K","-0.08%"
"Apr 11, 2018","12.06","12.13","12.27","11.93","126.69K","-0.58%"
"Apr 10, 2018","12.13","12.34","12.35","11.96","133.29K","-1.86%"
"Apr 09, 2018","12.36","12.34","12.41","12.29","90.46K","0.16%"
"Apr 06, 2018","12.34","12.36","12.42","12.28","95.80K","-0.08%"
"Apr 05, 2018","12.35","12.25","12.38","12.23","72.50K","0.65%"
"Apr 04, 2018","12.27","12.45","12.45","12.22","59.62K","-1.60%"
"Apr 03, 2018","12.47","12.40","12.51","12.23","72.26K","-0.40%"
"Apr 02, 2018","12.52","12.33","12.55","12.27","49.56K","1.38%"
"Mar 29, 2018","12.35","12.25","12.38","12.19","55.45K","1.15%"
"Mar 28, 2018","12.21","12.48","12.48","12.18","84.77K","-2.63%"
"Mar 27, 2018","12.54","12.42","12.58","12.35","77.44K","0.97%"
"Mar 26, 2018","12.42","12.56","12.77","12.41","60.17K","-1.19%"
"Mar 23, 2018","12.57","12.76","12.86","12.50","61.47K","-1.57%"
"Mar 22, 2018","12.77","12.64","12.81","12.60","45.14K","0.79%"
"Mar 21, 2018","12.67","12.57","12.84","12.56","45.24K","0.88%"
"Mar 20, 2018","12.56","12.89","12.91","12.54","47.18K","-2.56%"
"Mar 19, 2018","12.89","12.65","12.90","12.30","85.92K","1.90%"
"Mar 16, 2018","12.65","12.73","12.74","12.60","29.52K","-0.71%"
"Mar 15, 2018","12.74","12.84","12.87","12.56","48.02K","-0.16%"
"Mar 14, 2018","12.76","12.64","12.83","12.58","54.30K","1.11%"
"Mar 13, 2018","12.62","12.93","12.95","12.53","76.60K","-2.40%"
"Mar 12, 2018","12.93","12.86","12.96","12.78","58.41K","0.70%"
"Mar 09, 2018","12.84","12.92","12.97","12.75","57.51K","-0.39%"
"Mar 08, 2018","12.89","12.90","13.11","12.81","76.43K","0.78%"
"Mar 07, 2018","12.79","13.36","13.36","12.76","110.64K","-4.91%"
"Mar 06, 2018","13.45","13.51","13.65","13.40","48.50K","-0.81%"
"Mar 05, 2018","13.56","13.40","13.64","13.35","53.03K","1.04%"
"Mar 02, 2018","13.42","13.68","13.80","13.32","73.92K","-2.12%"
