Date,Price,Open,High,Low,Vol.,Change %
20-Apr-18,463.5,476.5,476.75,462.25,-,-2.73%
19-Apr-18,476.5,476.75,480,472,-,0.00%
18-Apr-18,476.5,466.25,477.25,465.5,-,2.25%
17-Apr-18,466,463.5,470.75,461.75,-,0.65%
16-Apr-18,463,466.5,470,461.5,-,-2.22%
13-Apr-18,473.5,480.5,480.5,469.5,-,-1.46%
12-Apr-18,480.5,484.25,484.5,475,-,-0.72%
11-Apr-18,484,491,492,483,-,-1.38%
10-Apr-18,490.75,491,494,482.75,-,-0.15%
9-Apr-18,491.5,477.25,493.5,475,-,4.13%
6-Apr-18,472,461.25,472.75,459.25,-,2.39%
5-Apr-18,461,457.5,465.5,456.5,-,0.77%
4-Apr-18,457.5,456.25,461.5,447.25,-,0.22%
3-Apr-18,456.5,448.25,463.5,448.25,-,1.78%
2-Apr-18,448.5,454,457.25,445.75,-,-0.72%
29-Mar-18,451.75,447,455.75,441.5,-,1.18%
28-Mar-18,446.5,449.5,452.5,444.5,-,-0.56%
27-Mar-18,449,454.25,457.5,448.75,-,-1.16%
26-Mar-18,454.25,462.75,463.5,451.25,-,-1.25%
23-Mar-18,460,455,461.5,446.5,-,0.77%
22-Mar-18,456.5,454.25,459.75,451.5,-,0.50%
21-Mar-18,454.25,453.75,454.5,446.75,-,0.22%
20-Mar-18,453.25,451.5,457.5,451.5,-,0.22%
19-Mar-18,452.25,465,466,450.25,-,-3.37%
16-Mar-18,468,478,482.25,467,-,-2.40%
15-Mar-18,479.5,489.5,493.25,476,-,-2.04%
14-Mar-18,489.5,485.5,490.5,483,-,0.67%
13-Mar-18,486.25,490.25,498,484.75,-,-0.77%
12-Mar-18,490,488.5,492.75,483,-,-0.05%
9-Mar-18,490.25,499.25,499.25,486,-,-1.80%
8-Mar-18,499.25,497.5,502.5,490.25,-,0.35%
7-Mar-18,497.5,506,509.75,496,-,-1.68%
6-Mar-18,506,507,507.5,495.5,-,-0.20%
5-Mar-18,507,507.75,510.25,495.25,-,1.60%
2-Mar-18,499,516,518.5,493.25,-,-3.29%
1-Mar-18,516,495.5,517.75,489.5,-,4.77%
28-Feb-18,492.5,477.5,499.5,476.5,-,3.14%
27-Feb-18,477.5,473.75,479,473.5,-,0.79%
26-Feb-18,473.75,468.75,476.75,467.75,-,4.81%
23-Feb-18,452,450.75,456.25,450.75,-,0.28%
22-Feb-18,450.75,447.5,451.75,445.25,-,0.73%
21-Feb-18,447.5,449.25,452,445.5,-,-0.39%
20-Feb-18,449.25,458,463.25,449,-,-1.91%
16-Feb-18,458,461.5,464.5,456.75,-,-0.76%
15-Feb-18,461.5,455.25,463.5,452.25,-,1.48%
14-Feb-18,454.75,458.25,460.5,453.75,-,-0.98%
13-Feb-18,459.25,464.25,467.25,459,-,-1.08%
