"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","415.31","412.50","425.70","412.50","4.63K","-2.16%"
"Apr 19, 2018","424.46","426.79","430.44","423.00","1.50K","-0.89%"
"Apr 18, 2018","428.29","425.57","435.40","422.55","2.89K","0.57%"
"Apr 17, 2018","425.86","426.98","435.83","419.96","5.50K","0.44%"
"Apr 16, 2018","423.98","422.05","431.50","414.23","3.17K","0.47%"
"Apr 13, 2018","422.00","422.59","425.00","412.42","3.93K","0.38%"
"Apr 12, 2018","420.41","418.00","428.00","418.00","2.04K","-0.58%"
"Apr 11, 2018","422.85","428.33","432.40","420.22","2.01K","-1.82%"
"Apr 10, 2018","430.70","434.21","435.00","427.05","2.37K","0.03%"
"Apr 09, 2018","430.56","432.50","435.00","427.16","2.98K","-0.07%"
"Apr 06, 2018","430.87","431.03","438.51","419.50","10.99K","-0.69%"
"Apr 05, 2018","433.86","410.00","437.38","410.00","9.44K","6.13%"
"Apr 04, 2018","408.79","398.04","409.78","398.04","9.64K","1.69%"
"Apr 03, 2018","402.00","399.37","409.99","399.37","4.68K","0.76%"
"Apr 02, 2018","398.95","404.44","409.95","393.12","6.04K","-2.32%"
"Mar 29, 2018","408.41","410.00","410.00","404.51","3.44K","-0.16%"
"Mar 28, 2018","409.07","407.89","410.00","406.70","5.06K","0.49%"
"Mar 27, 2018","407.07","408.97","416.18","406.25","5.63K","-0.18%"
"Mar 26, 2018","407.82","412.61","412.61","405.39","1.91K","-0.05%"
"Mar 23, 2018","408.01","415.18","424.89","405.70","5.26K","-1.80%"
"Mar 22, 2018","415.50","427.94","427.94","413.75","2.39K","-3.60%"
"Mar 21, 2018","431.01","430.13","431.25","425.00","1.74K","0.04%"
"Mar 20, 2018","430.85","426.57","431.50","424.31","2.17K","0.92%"
"Mar 19, 2018","426.91","427.43","433.80","420.03","2.32K","-0.44%"
"Mar 16, 2018","428.80","426.27","429.95","422.93","8.40K","0.42%"
"Mar 15, 2018","427.00","428.21","431.38","423.00","1.65K","-0.12%"
"Mar 14, 2018","427.52","442.22","443.75","422.93","3.55K","-2.97%"
"Mar 13, 2018","440.62","435.00","443.80","420.93","4.70K","1.52%"
