"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","331.95","336.06","339.75","330.57","802.75K","-1.92%"
"Apr 19, 2018","338.46","339.00","342.58","334.01","709.82K","-0.27%"
"Apr 18, 2018","339.36","336.00","351.17","335.72","1.60M","1.42%"
"Apr 17, 2018","334.61","330.00","340.76","329.58","894.47K","2.45%"
"Apr 16, 2018","326.60","318.59","330.00","318.11","782.95K","2.59%"
"Apr 13, 2018","318.36","328.40","328.40","315.95","625.48K","-2.07%"
"Apr 12, 2018","325.08","323.65","327.69","319.70","618.21K","1.03%"
"Apr 11, 2018","321.75","321.45","331.90","320.58","668.07K","-0.01%"
"Apr 10, 2018","321.77","319.89","323.80","315.77","595.37K","1.47%"
"Apr 09, 2018","317.10","320.09","321.71","316.88","514.71K","-0.30%"
"Apr 06, 2018","318.07","325.09","328.07","315.68","633.60K","-2.94%"
"Apr 05, 2018","327.71","326.10","334.06","325.19","599.81K","0.57%"
"Apr 04, 2018","325.84","313.95","328.03","312.51","690.74K","2.90%"
"Apr 03, 2018","316.66","311.55","317.81","311.00","598.58K","1.77%"
"Apr 02, 2018","311.16","322.24","323.55","307.70","819.36K","-3.70%"
"Mar 29, 2018","323.11","319.95","327.39","319.95","532.69K","1.13%"
"Mar 28, 2018","319.51","322.00","323.92","316.22","515.95K","-1.07%"
"Mar 27, 2018","322.96","329.90","333.21","321.03","598.65K","-1.49%"
"Mar 26, 2018","327.86","327.39","329.00","321.06","690.37K","1.73%"
"Mar 23, 2018","322.30","337.23","340.43","321.26","1.05M","-4.28%"
"Mar 22, 2018","336.71","330.28","344.34","329.00","1.54M","0.65%"
"Mar 21, 2018","334.52","320.94","339.20","320.32","1.38M","4.48%"
"Mar 20, 2018","320.17","316.75","322.72","315.00","547.99K","1.06%"
"Mar 19, 2018","316.80","319.78","321.88","314.05","551.20K","-1.06%"
"Mar 16, 2018","320.20","319.10","325.12","318.95","726.76K","0.40%"
"Mar 15, 2018","318.91","319.68","327.00","317.79","786.76K","-0.23%"
"Mar 14, 2018","319.66","327.39","327.51","318.00","764.50K","-2.18%"
"Mar 13, 2018","326.80","324.26","328.91","323.37","663.29K","0.94%"
"Mar 12, 2018","323.76","323.00","328.45","321.74","628.61K","0.50%"
"Mar 09, 2018","322.16","323.26","323.41","319.50","567.19K","0.09%"
"Mar 08, 2018","321.86","321.00","324.78","315.95","537.30K","0.60%"
"Mar 07, 2018","319.95","315.86","320.09","314.88","384.74K","0.60%"
"Mar 06, 2018","318.04","322.25","322.74","315.16","535.33K","-0.66%"
"Mar 05, 2018","320.16","320.00","324.82","318.40","790.31K","0.05%"
"Mar 02, 2018","319.99","310.34","320.85","309.03","843.31K","2.15%"
"Mar 01, 2018","313.26","318.26","320.88","309.07","1.10M","-1.62%"
"Feb 28, 2018","318.41","320.20","325.69","318.27","912.63K","-0.23%"
"Feb 27, 2018","319.15","318.86","330.14","317.31","1.75M","2.33%"
"Feb 26, 2018","311.89","316.49","318.74","311.31","911.04K","-1.24%"
"Feb 23, 2018","315.82","316.55","317.44","309.17","955.34K","0.61%"
"Feb 22, 2018","313.91","320.04","324.47","311.67","1.29M","-2.20%"
"Feb 21, 2018","320.96","318.00","324.44","316.01","1.90M","1.07%"
"Feb 20, 2018","317.57","304.47","322.25","300.00","2.74M","3.91%"
"Feb 16, 2018","305.63","287.00","306.00","286.76","2.74M","6.62%"
"Feb 15, 2018","286.65","291.99","292.60","286.16","1.21M","-1.12%"
"Feb 14, 2018","289.91","281.50","292.06","281.00","5.38M","15.35%"
"Feb 13, 2018","251.33","254.13","257.96","250.62","1.52M","-1.23%"
"Feb 12, 2018","254.45","257.00","259.16","249.31","1.95M","-0.40%"
"Feb 09, 2018","255.46","266.79","267.34","247.51","3.06M","-3.97%"
"Feb 08, 2018","266.01","270.17","271.11","265.00","1.89M","-2.28%"
"Feb 07, 2018","272.21","273.64","279.70","268.04","4.78M","-10.55%"
"Feb 06, 2018","304.33","296.80","305.46","293.55","2.09M","1.34%"
"Feb 05, 2018","300.30","310.88","314.36","299.17","1.35M","-3.64%"
"Feb 02, 2018","311.64","313.81","317.50","310.85","951.98K","-0.98%"
"Feb 01, 2018","314.72","314.06","315.20","306.20","1.65M","-3.09%"
"Jan 31, 2018","324.76","322.87","330.00","321.68","737.16K","0.83%"
"Jan 30, 2018","322.08","329.69","331.19","313.01","1.93M","-3.08%"
"Jan 29, 2018","332.33","327.00","336.24","325.00","764.79K","0.64%"
"Jan 26, 2018","330.23","332.56","332.56","326.77","665.60K","-1.12%"
"Jan 25, 2018","333.97","330.34","335.18","329.60","573.94K","1.35%"
"Jan 24, 2018","329.53","329.92","331.94","324.27","786.77K","0.25%"
"Jan 23, 2018","328.71","330.00","334.39","327.99","1.23M","-0.39%"
"Jan 22, 2018","330.00","340.00","340.26","329.31","1.44M","-4.03%"
"Jan 19, 2018","343.87","339.25","345.88","338.37","1.15M","1.88%"
"Jan 18, 2018","337.53","334.51","341.50","332.62","889.04K","0.87%"
"Jan 17, 2018","334.63","328.00","339.60","325.00","979.06K","2.22%"
"Jan 16, 2018","327.37","329.33","330.94","324.90","706.54K","0.01%"
"Jan 12, 2018","327.34","326.84","328.62","323.07","675.91K","0.57%"
"Jan 11, 2018","325.50","322.61","328.19","320.50","813.57K","1.15%"
"Jan 10, 2018","321.80","318.94","328.25","318.00","1.15M","0.76%"
"Jan 09, 2018","319.37","319.67","322.18","318.13","681.94K","0.28%"
"Jan 08, 2018","318.47","314.10","320.10","312.33","1.09M","1.49%"
"Jan 05, 2018","313.79","310.24","314.28","307.59","998.21K","2.18%"
"Jan 04, 2018","307.11","309.03","310.38","304.39","703.30K","-0.61%"
"Jan 03, 2018","309.00","294.00","313.20","293.26","1.96M","5.48%"
"Jan 02, 2018","292.95","290.90","293.14","289.00","1.46M","1.36%"
"Dec 29, 2017","289.03","294.25","296.17","286.40","1.11M","-1.96%"
"Dec 28, 2017","294.82","295.00","297.26","293.05","517.29K","-0.20%"
"Dec 27, 2017","295.42","296.00","298.69","294.39","863.98K","-0.03%"
"Dec 26, 2017","295.52","295.52","297.49","292.95","546.43K","0.10%"
"Dec 22, 2017","295.23","292.00","296.05","290.33","1.20M","0.97%"
"Dec 21, 2017","292.40","299.06","299.77","291.55","1.53M","-2.10%"
"Dec 20, 2017","298.67","314.00","315.81","297.80","2.02M","-4.63%"
"Dec 19, 2017","313.17","314.00","315.46","308.21","793.84K","-0.08%"
"Dec 18, 2017","313.42","313.00","315.99","312.15","814.21K","0.42%"
"Dec 15, 2017","312.12","312.80","318.17","311.87","1.12M","-0.61%"
"Dec 14, 2017","314.02","320.03","321.64","313.54","713.19K","-1.78%"
"Dec 13, 2017","319.70","322.00","325.71","317.45","961.95K","0.41%"
"Dec 12, 2017","318.38","313.54","318.67","311.15","699.18K","1.59%"
"Dec 11, 2017","313.39","315.01","316.66","311.60","688.68K","-0.79%"
"Dec 08, 2017","315.90","313.43","319.60","311.50","1.87M","0.72%"
"Dec 07, 2017","313.65","309.43","314.59","305.20","987.33K","0.96%"
"Dec 06, 2017","310.67","315.92","316.82","310.51","817.67K","-1.55%"
"Dec 05, 2017","315.56","318.01","321.67","312.01","1.17M","-0.01%"
"Dec 04, 2017","315.60","311.06","333.33","309.79","2.69M","2.60%"
"Dec 01, 2017","307.59","302.40","311.29","300.24","1.18M","1.05%"
"Nov 30, 2017","304.39","302.00","308.18","301.14","1.49M","0.79%"
"Nov 29, 2017","301.99","297.00","304.47","292.27","3.29M","5.64%"
"Nov 28, 2017","285.86","274.90","286.06","272.23","1.33M","4.13%"
"Nov 27, 2017","274.52","278.86","279.97","271.65","966.88K","-1.71%"
"Nov 24, 2017","279.31","281.19","282.50","278.56","335.24K","-0.70%"
"Nov 22, 2017","281.27","279.87","282.69","278.78","598.56K","0.63%"
"Nov 21, 2017","279.51","284.04","284.04","277.85","768.71K","-1.32%"
"Nov 20, 2017","283.25","289.84","289.84","282.17","760.97K","-2.27%"
