"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","16.59","16.52","16.72","16.52","178.64K","0.00%"
"Apr 19, 2018","16.59","16.55","16.66","16.50","241.46K","0.06%"
"Apr 18, 2018","16.58","16.64","16.65","16.47","182.78K","-0.18%"
"Apr 17, 2018","16.61","16.67","16.96","16.44","311.61K","0.12%"
"Apr 16, 2018","16.59","16.32","16.75","16.32","165.60K","2.53%"
"Apr 13, 2018","16.18","16.25","16.49","16.10","158.92K","-0.12%"
"Apr 12, 2018","16.20","16.21","16.36","16.16","138.54K","0.25%"
"Apr 11, 2018","16.16","16.16","16.27","16.11","138.63K","-0.49%"
"Apr 10, 2018","16.24","16.16","16.32","15.96","209.51K","1.44%"
"Apr 09, 2018","16.01","16.32","16.39","16.00","165.04K","-1.42%"
"Apr 06, 2018","16.24","16.07","16.37","16.07","454.53K","0.43%"
"Apr 05, 2018","16.17","15.96","16.24","15.84","220.44K","2.08%"
"Apr 04, 2018","15.84","15.34","15.92","15.07","347.42K","2.19%"
"Apr 03, 2018","15.50","15.18","15.54","15.17","253.94K","2.31%"
"Apr 02, 2018","15.15","15.44","15.71","15.06","211.46K","-1.81%"
"Mar 29, 2018","15.43","15.41","15.64","15.39","372.54K","0.59%"
"Mar 28, 2018","15.34","15.29","15.51","15.22","181.47K","0.66%"
"Mar 27, 2018","15.24","15.39","15.49","15.22","206.85K","-1.04%"
"Mar 26, 2018","15.40","15.35","15.48","15.22","281.45K","1.12%"
"Mar 23, 2018","15.23","15.42","15.52","15.22","319.03K","-0.72%"
"Mar 22, 2018","15.34","15.39","15.90","15.26","303.95K","-0.84%"
"Mar 21, 2018","15.47","15.59","15.70","15.41","198.47K","-0.71%"
"Mar 20, 2018","15.58","15.62","15.87","15.54","168.28K","0.00%"
"Mar 19, 2018","15.58","15.61","15.65","15.44","262.53K","-0.45%"
"Mar 16, 2018","15.65","15.62","15.80","15.61","431.95K","0.19%"
"Mar 15, 2018","15.62","16.03","16.06","15.55","197.75K","-2.19%"
"Mar 14, 2018","15.97","16.05","16.18","15.92","204.93K","-0.37%"
"Mar 13, 2018","16.03","16.23","16.31","16.02","129.85K","-0.74%"
"Mar 12, 2018","16.15","16.10","16.22","16.01","215.68K","0.50%"
"Mar 09, 2018","16.07","16.02","16.19","15.92","350.23K","0.88%"
"Mar 08, 2018","15.93","15.95","16.16","15.84","236.33K","0.31%"
"Mar 07, 2018","15.88","15.58","15.98","15.45","247.95K","1.47%"
"Mar 06, 2018","15.65","15.54","15.67","15.32","275.12K","1.23%"
"Mar 05, 2018","15.46","15.44","15.77","15.38","514.80K","-0.13%"
"Mar 02, 2018","15.48","14.89","15.52","14.83","332.42K","2.72%"
"Mar 01, 2018","15.07","15.01","15.22","14.97","351.60K","0.20%"
"Feb 28, 2018","15.04","14.99","15.28","14.99","435.11K","0.47%"
"Feb 27, 2018","14.97","15.03","15.17","14.97","255.74K","-0.33%"
"Feb 26, 2018","15.02","15.08","15.17","14.96","217.39K","0.27%"
"Feb 23, 2018","14.98","14.94","15.57","14.80","176.25K","0.67%"
"Feb 22, 2018","14.88","15.04","15.22","14.85","301.01K","-0.47%"
"Feb 21, 2018","14.95","14.79","15.05","14.71","311.22K","0.88%"
"Feb 20, 2018","14.82","14.86","14.97","14.53","283.46K","-0.60%"
"Feb 16, 2018","14.91","15.10","15.26","14.89","229.34K","-1.65%"
"Feb 15, 2018","15.16","15.13","15.17","14.84","269.62K","0.46%"
"Feb 14, 2018","15.09","15.27","15.70","14.87","783.73K","4.14%"
"Feb 13, 2018","14.49","14.45","14.59","14.20","366.51K","-0.41%"
"Feb 12, 2018","14.55","14.76","14.80","14.54","326.24K","-0.68%"
"Feb 09, 2018","14.65","14.50","14.74","14.24","387.17K","2.16%"
"Feb 08, 2018","14.34","14.72","14.72","14.32","196.57K","-2.32%"
"Feb 07, 2018","14.68","14.54","14.77","14.44","187.55K","0.41%"
"Feb 06, 2018","14.62","14.26","14.76","14.10","381.16K","0.90%"
"Feb 05, 2018","14.49","14.70","14.94","14.01","275.04K","-3.34%"
"Feb 02, 2018","14.99","15.17","15.17","14.90","159.86K","-1.45%"
"Feb 01, 2018","15.21","14.96","15.26","14.82","334.79K","1.47%"
"Jan 31, 2018","14.99","15.29","15.39","14.99","285.78K","-1.58%"
"Jan 30, 2018","15.23","15.12","15.35","15.07","256.33K","-0.13%"
"Jan 29, 2018","15.25","15.32","15.49","15.18","175.94K","-0.59%"
"Jan 26, 2018","15.34","15.25","15.47","15.02","394.33K","0.39%"
"Jan 25, 2018","15.28","15.28","15.37","15.18","260.44K","0.86%"
"Jan 24, 2018","15.15","15.27","15.44","15.06","440.59K","-0.59%"
"Jan 23, 2018","15.24","15.31","15.31","15.01","342.08K","-0.59%"
"Jan 22, 2018","15.33","15.30","15.56","15.17","351.97K","0.20%"
"Jan 19, 2018","15.30","15.10","15.50","15.10","324.77K","1.26%"
"Jan 18, 2018","15.11","15.08","15.25","14.96","248.59K","0.33%"
"Jan 17, 2018","15.06","15.10","15.23","15.01","306.81K","-0.20%"
"Jan 16, 2018","15.09","15.02","15.31","15.00","516.18K","1.28%"
"Jan 12, 2018","14.90","14.51","15.10","14.49","944.64K","3.19%"
"Jan 11, 2018","14.44","13.88","14.52","13.82","758.38K","3.88%"
"Jan 10, 2018","13.90","13.70","14.63","13.66","723.99K","1.98%"
"Jan 09, 2018","13.63","13.70","13.72","13.57","254.00K","-0.51%"
"Jan 08, 2018","13.70","13.85","13.85","13.46","302.21K","-0.72%"
"Jan 05, 2018","13.80","13.74","13.91","13.67","257.33K","0.66%"
"Jan 04, 2018","13.71","13.66","13.84","13.65","311.17K","0.51%"
"Jan 03, 2018","13.64","13.47","13.65","13.42","320.98K","0.96%"
"Jan 02, 2018","13.51","13.26","13.63","13.26","233.25K","2.04%"
"Dec 29, 2017","13.24","13.33","13.34","13.22","207.28K","-0.68%"
"Dec 28, 2017","13.33","13.39","13.46","13.26","89.97K","-0.52%"
"Dec 27, 2017","13.40","13.41","13.50","13.36","87.33K","-0.22%"
"Dec 26, 2017","13.43","13.44","13.57","13.37","89.56K","-0.15%"
"Dec 22, 2017","13.45","13.60","13.62","13.41","108.70K","-0.66%"
"Dec 21, 2017","13.54","13.61","13.68","13.54","117.58K","-0.37%"
"Dec 20, 2017","13.59","13.55","13.69","13.44","122.24K","-0.22%"
"Dec 19, 2017","13.62","13.46","13.70","13.46","163.49K","1.64%"
"Dec 18, 2017","13.40","13.52","13.63","13.39","273.90K","-0.07%"
"Dec 15, 2017","13.41","13.34","13.58","13.34","642.89K","0.60%"
"Dec 14, 2017","13.33","13.66","13.66","13.25","199.26K","-2.13%"
"Dec 13, 2017","13.62","13.27","13.67","13.26","271.68K","2.71%"
"Dec 12, 2017","13.26","13.30","13.36","13.13","162.93K","-0.08%"
"Dec 11, 2017","13.27","13.24","13.33","13.16","135.98K","0.08%"
"Dec 08, 2017","13.26","13.30","13.37","13.20","132.18K","-0.08%"
"Dec 07, 2017","13.27","13.28","13.44","13.20","284.93K","-0.08%"
"Dec 06, 2017","13.28","13.40","13.51","13.26","198.92K","-0.82%"
"Dec 05, 2017","13.39","13.65","13.65","13.37","183.38K","-1.47%"
"Dec 04, 2017","13.59","13.47","13.77","13.47","325.23K","1.57%"
"Dec 01, 2017","13.38","13.49","13.52","12.99","281.39K","-1.25%"
"Nov 30, 2017","13.55","13.65","13.65","13.39","301.97K","-0.44%"
"Nov 29, 2017","13.61","13.21","13.71","13.19","345.83K","3.58%"
"Nov 28, 2017","13.14","12.91","13.27","12.79","373.84K","2.02%"
"Nov 27, 2017","12.88","12.84","12.91","12.74","290.56K","0.55%"
"Nov 24, 2017","12.81","12.68","12.84","12.57","237.35K","0.95%"
"Nov 22, 2017","12.69","12.48","13.20","12.33","583.18K","1.60%"
"Nov 21, 2017","12.49","12.65","12.68","12.47","161.67K","-0.95%"
"Nov 20, 2017","12.61","12.67","12.68","12.42","172.44K","-0.47%"
"Nov 17, 2017","12.67","12.45","12.70","12.45","213.77K","1.20%"
"Nov 16, 2017","12.52","12.47","12.62","12.46","226.61K","0.64%"
"Nov 15, 2017","12.44","12.41","12.54","12.32","170.16K","-0.24%"
"Nov 14, 2017","12.47","12.39","12.55","12.39","183.21K","0.97%"
"Nov 13, 2017","12.35","12.26","12.45","12.20","137.87K","0.41%"
"Nov 10, 2017","12.30","12.23","12.42","12.23","161.62K","0.57%"
"Nov 09, 2017","12.23","12.13","12.27","12.11","203.85K","0.00%"
"Nov 08, 2017","12.23","12.22","12.33","12.09","324.35K","-0.65%"
"Nov 07, 2017","12.31","12.54","12.63","12.28","232.44K","-2.46%"
"Nov 06, 2017","12.62","12.85","12.87","12.61","221.69K","-1.71%"
"Nov 03, 2017","12.84","13.29","13.29","12.84","352.85K","-3.46%"
"Nov 02, 2017","13.30","12.51","13.35","12.37","850.17K","3.58%"
"Nov 01, 2017","12.84","13.07","13.24","12.83","482.43K","-1.76%"
"Oct 31, 2017","13.07","13.02","13.25","12.94","388.44K","1.79%"
"Oct 30, 2017","12.84","12.98","12.98","12.79","231.51K","-1.23%"
"Oct 27, 2017","13.00","12.90","13.15","12.88","471.48K","0.93%"
"Oct 26, 2017","12.88","12.93","13.04","12.79","339.17K","-0.08%"
"Oct 25, 2017","12.89","12.97","13.01","12.80","243.59K","-1.30%"
"Oct 24, 2017","13.06","12.99","13.11","12.73","245.26K","0.38%"
"Oct 23, 2017","13.01","13.13","13.20","12.98","216.35K","-0.61%"
"Oct 20, 2017","13.09","13.15","13.21","13.04","534.93K","-0.30%"
"Oct 19, 2017","13.13","13.05","13.15","12.98","190.96K","0.54%"
"Oct 18, 2017","13.06","13.05","13.10","12.96","239.00K","0.54%"
"Oct 17, 2017","12.99","12.90","13.10","12.89","189.19K","0.46%"
"Oct 16, 2017","12.93","13.04","13.25","12.91","205.64K","-0.39%"
"Oct 13, 2017","12.98","12.96","13.05","12.89","153.15K","0.23%"
"Oct 12, 2017","12.95","12.98","13.01","12.86","132.46K","-0.38%"
"Oct 11, 2017","13.00","13.11","13.15","12.97","144.28K","-1.07%"
"Oct 10, 2017","13.14","13.09","13.16","13.03","206.80K","0.92%"
"Oct 09, 2017","13.02","13.05","13.14","12.94","206.60K","-0.23%"
"Oct 06, 2017","13.05","12.90","13.20","12.89","310.80K","1.40%"
"Oct 05, 2017","12.87","12.80","12.98","12.75","155.48K","0.86%"
"Oct 04, 2017","12.76","12.80","12.99","12.74","181.87K","-0.39%"
"Oct 03, 2017","12.81","12.76","12.99","12.69","278.17K","0.63%"
"Oct 02, 2017","12.73","12.48","12.73","12.39","319.20K","2.25%"
"Sep 29, 2017","12.45","12.45","12.51","12.41","219.95K","0.16%"
"Sep 28, 2017","12.43","12.38","12.53","12.31","267.26K","0.16%"
"Sep 27, 2017","12.41","12.41","12.50","12.19","323.40K","0.24%"
"Sep 26, 2017","12.38","12.18","12.41","12.14","273.95K","1.39%"
"Sep 25, 2017","12.21","12.08","12.27","12.08","393.13K","0.83%"
"Sep 22, 2017","12.11","12.00","12.16","12.00","182.73K","0.83%"
"Sep 21, 2017","12.01","12.07","12.10","11.98","194.61K","-0.50%"
"Sep 20, 2017","12.07","11.89","12.23","11.88","357.14K","1.43%"
"Sep 19, 2017","11.90","11.85","11.97","11.78","211.88K","0.85%"
"Sep 18, 2017","11.80","11.90","12.01","11.78","259.26K","-0.34%"
"Sep 15, 2017","11.84","11.76","11.91","11.49","941.37K","0.77%"
"Sep 14, 2017","11.75","11.88","11.88","11.61","324.16K","-1.18%"
"Sep 13, 2017","11.89","11.75","12.08","11.68","323.37K","1.19%"
"Sep 12, 2017","11.75","11.56","11.81","11.52","244.68K","1.56%"
"Sep 11, 2017","11.57","11.52","11.72","11.52","228.83K","1.40%"
"Sep 08, 2017","11.41","11.41","11.48","11.31","386.32K","0.09%"
