"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","238.93","239.55","241.09","238.21","487.69K","-0.73%"
"Apr 19, 2018","240.69","237.75","241.41","236.89","401.55K","1.05%"
"Apr 18, 2018","238.19","237.37","239.21","236.54","399.60K","0.43%"
"Apr 17, 2018","237.16","234.63","238.92","234.30","414.13K","2.07%"
"Apr 16, 2018","232.35","231.06","234.83","230.53","353.57K","0.88%"
"Apr 13, 2018","230.32","232.38","233.28","229.67","528.57K","-0.50%"
"Apr 12, 2018","231.48","232.09","234.62","231.33","398.77K","0.21%"
"Apr 11, 2018","231.00","230.79","232.80","229.69","326.70K","-0.30%"
"Apr 10, 2018","231.70","234.02","234.67","230.86","445.17K","-0.31%"
"Apr 09, 2018","232.43","232.68","235.20","231.90","380.57K","0.42%"
"Apr 06, 2018","231.46","233.69","235.73","230.23","658.24K","-1.84%"
"Apr 05, 2018","235.79","233.27","236.24","232.32","610.89K","1.88%"
"Apr 04, 2018","231.45","225.70","232.02","225.25","1.03M","-0.87%"
"Apr 03, 2018","233.47","231.91","234.45","230.13","539.04K","1.32%"
"Apr 02, 2018","230.42","233.29","236.93","228.59","733.58K","-1.34%"
"Mar 29, 2018","233.56","234.56","235.87","232.36","963.76K","-0.13%"
"Mar 28, 2018","233.87","231.99","234.42","231.28","738.55K","0.99%"
"Mar 27, 2018","231.58","232.00","233.78","229.47","795.07K","0.13%"
"Mar 26, 2018","231.28","228.60","231.84","226.22","632.72K","2.04%"
"Mar 23, 2018","226.65","227.21","231.13","225.94","799.09K","0.11%"
"Mar 22, 2018","226.40","227.43","231.56","226.34","915.94K","-0.81%"
"Mar 21, 2018","228.26","231.45","232.36","227.74","512.82K","-1.44%"
"Mar 20, 2018","231.59","228.00","232.88","227.51","574.27K","1.72%"
"Mar 19, 2018","227.67","228.80","230.28","226.90","636.18K","-0.92%"
"Mar 16, 2018","229.79","227.49","232.02","227.45","904.43K","1.31%"
"Mar 15, 2018","226.82","227.37","228.27","226.09","808.46K","0.07%"
"Mar 14, 2018","226.66","225.67","228.39","224.28","394.26K","0.11%"
"Mar 13, 2018","226.40","228.21","229.93","225.78","675.43K","-0.57%"
"Mar 12, 2018","227.69","230.50","232.49","227.55","855.34K","-1.12%"
"Mar 09, 2018","230.26","224.39","230.45","222.77","657.02K","3.36%"
"Mar 08, 2018","222.78","223.81","226.63","221.81","581.07K","-0.08%"
"Mar 07, 2018","222.96","222.93","223.73","220.31","754.77K","0.69%"
"Mar 06, 2018","221.44","223.50","223.81","218.60","965.28K","0.83%"
"Mar 05, 2018","219.61","222.36","222.36","218.00","930.10K","-1.56%"
"Mar 02, 2018","223.10","220.69","224.16","219.56","873.19K","0.13%"
"Mar 01, 2018","222.82","222.00","225.79","219.29","898.89K","0.18%"
"Feb 28, 2018","222.41","226.21","228.24","222.29","918.48K","-1.79%"
"Feb 27, 2018","226.47","228.98","230.99","226.10","634.17K","-0.68%"
"Feb 26, 2018","228.02","230.71","231.04","227.46","980.82K","-0.36%"
"Feb 23, 2018","228.85","227.98","229.25","225.02","1.01M","0.81%"
