"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","158.77","159.33","160.73","158.51","3.96M","-0.48%"
"Apr 19, 2018","159.53","161.61","162.10","158.78","3.28M","-1.41%"
"Apr 18, 2018","161.81","162.59","163.31","161.74","2.50M","-0.46%"
"Apr 17, 2018","162.55","162.39","163.48","162.06","2.86M","0.57%"
"Apr 16, 2018","161.63","161.30","162.44","160.86","3.12M","-0.06%"
"Apr 13, 2018","161.73","162.16","163.16","161.26","2.45M","0.07%"
"Apr 12, 2018","161.62","163.59","165.40","161.54","5.18M","-1.05%"
"Apr 11, 2018","163.34","162.50","164.06","162.28","2.71M","0.35%"
"Apr 10, 2018","162.77","162.83","163.96","162.05","3.93M","0.96%"
"Apr 09, 2018","161.23","162.22","163.57","161.06","3.58M","-0.01%"
"Apr 06, 2018","161.25","162.42","163.78","160.91","4.32M","-1.65%"
"Apr 05, 2018","163.95","162.40","164.56","161.75","4.50M","1.37%"
"Apr 04, 2018","161.73","158.50","162.15","157.88","4.89M","0.83%"
"Apr 03, 2018","160.40","157.98","160.53","157.30","4.72M","1.70%"
"Apr 02, 2018","157.72","158.27","160.16","155.25","6.96M","0.86%"
"Mar 29, 2018","156.38","159.00","159.83","156.38","5.29M","-1.28%"
"Mar 28, 2018","158.41","157.84","159.76","157.82","3.91M","0.59%"
"Mar 27, 2018","157.48","158.50","159.77","156.47","3.52M","-0.34%"
"Mar 26, 2018","158.01","156.21","158.20","156.21","3.48M","1.96%"
"Mar 23, 2018","154.98","157.59","158.08","154.92","3.45M","-1.31%"
"Mar 22, 2018","157.04","157.85","159.12","156.85","3.67M","-1.02%"
"Mar 21, 2018","158.66","160.00","160.41","158.29","3.87M","-0.45%"
"Mar 20, 2018","159.38","159.75","160.67","159.25","3.11M","0.23%"
"Mar 19, 2018","159.01","162.00","162.36","158.21","4.31M","-2.06%"
"Mar 16, 2018","162.36","161.88","163.23","161.58","14.29M","0.46%"
"Mar 15, 2018","161.61","158.71","162.15","158.59","5.93M","2.13%"
"Mar 14, 2018","158.24","159.00","159.51","157.24","3.88M","0.01%"
"Mar 13, 2018","158.22","158.56","159.89","158.21","4.33M","0.30%"
"Mar 12, 2018","157.74","157.74","159.45","157.50","4.46M","0.32%"
"Mar 09, 2018","157.24","155.62","157.73","154.84","5.08M","1.81%"
"Mar 08, 2018","154.44","152.73","154.61","152.65","4.29M","1.35%"
"Mar 07, 2018","152.38","149.86","152.74","149.68","4.49M","0.78%"
"Mar 06, 2018","151.20","151.25","151.71","150.13","5.02M","0.11%"
"Mar 05, 2018","151.03","148.28","151.48","147.92","6.40M","1.86%"
"Mar 02, 2018","148.27","148.91","150.45","146.84","11.75M","-4.77%"
"Mar 01, 2018","155.70","157.80","160.43","155.21","5.61M","-1.29%"
"Feb 28, 2018","157.74","160.43","161.21","157.72","6.12M","-1.82%"
"Feb 27, 2018","160.66","164.19","164.50","160.64","4.91M","-1.79%"
"Feb 26, 2018","163.58","164.00","164.75","162.30","4.53M","0.32%"
"Feb 23, 2018","163.06","161.44","163.31","161.44","4.27M","1.49%"
