"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","79.70","79.75","80.30","79.35","4.18K","-0.44%"
"Apr 19, 2018","80.05","80.20","80.90","79.05","4.58K","-0.44%"
"Apr 18, 2018","80.40","79.50","81.00","78.98","6.29K","1.01%"
"Apr 17, 2018","79.60","74.70","80.05","74.65","15.14K","6.85%"
"Apr 16, 2018","74.50","74.50","75.80","74.00","12.48K","1.50%"
"Apr 13, 2018","73.40","73.95","73.95","72.95","9.13K","-0.34%"
"Apr 12, 2018","73.65","74.65","74.65","73.25","4.70K","-1.21%"
"Apr 11, 2018","74.55","74.25","75.30","73.95","13.07K","-0.13%"
"Apr 10, 2018","74.65","74.40","75.05","74.12","9.96K","0.88%"
"Apr 09, 2018","74.00","74.80","76.10","73.40","16.37K","-0.60%"
"Apr 06, 2018","74.45","74.20","75.20","74.15","6.50K","0.13%"
"Apr 05, 2018","74.35","74.05","75.30","72.35","17.06K","0.88%"
"Apr 04, 2018","73.70","72.00","74.83","71.80","30.92K","2.01%"
"Apr 03, 2018","72.25","70.69","72.95","70.20","14.10K","2.12%"
"Apr 02, 2018","70.75","73.80","73.80","69.75","28.66K","-4.26%"
"Mar 29, 2018","73.90","71.00","74.15","70.65","20.24K","4.23%"
"Mar 28, 2018","70.90","72.00","72.45","70.65","9.86K","-1.25%"
"Mar 27, 2018","71.80","71.60","72.75","71.60","11.97K","-0.55%"
"Mar 26, 2018","72.20","72.60","73.53","70.60","30.70K","0.14%"
"Mar 23, 2018","72.10","72.25","74.75","70.50","28.81K","-0.55%"
"Mar 22, 2018","72.50","70.60","73.45","69.75","23.76K","2.11%"
"Mar 21, 2018","71.00","66.10","72.00","66.10","47.10K","7.49%"
"Mar 20, 2018","66.05","63.65","66.50","63.10","23.93K","3.85%"
"Mar 19, 2018","63.60","61.85","64.50","61.00","28.21K","2.83%"
"Mar 16, 2018","61.85","60.35","64.90","60.35","60.64K","1.14%"
"Mar 15, 2018","61.15","63.05","63.60","60.55","14.41K","-2.70%"
