"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","61.62","60.99","61.95","60.62","517.40K","0.70%"
"Apr 19, 2018","61.19","61.43","62.23","60.88","568.56K","-0.46%"
"Apr 18, 2018","61.47","61.59","62.41","60.92","381.64K","-0.18%"
"Apr 17, 2018","61.58","60.85","61.96","60.40","401.94K","1.33%"
"Apr 16, 2018","60.77","61.46","61.80","60.49","587.62K","-0.46%"
"Apr 13, 2018","61.05","61.74","61.74","60.73","715.57K","-0.94%"
"Apr 12, 2018","61.63","62.57","62.57","60.52","513.33K","-0.85%"
"Apr 11, 2018","62.16","62.16","63.07","61.81","404.18K","-0.42%"
"Apr 10, 2018","62.42","62.26","62.59","61.47","841.16K","0.97%"
"Apr 09, 2018","61.82","62.42","62.42","61.33","561.46K","-0.48%"
"Apr 06, 2018","62.12","62.16","63.54","61.38","685.26K","-0.66%"
"Apr 05, 2018","62.53","62.72","62.88","61.48","657.91K","0.02%"
"Apr 04, 2018","62.52","60.29","62.72","59.73","857.28K","2.88%"
"Apr 03, 2018","60.77","59.68","60.95","59.02","1.06M","3.07%"
"Apr 02, 2018","58.96","56.99","59.28","56.99","1.25M","2.90%"
"Mar 29, 2018","57.30","57.74","58.28","57.18","851.99K","-0.68%"
"Mar 28, 2018","57.69","56.84","57.76","56.15","615.54K","1.33%"
"Mar 27, 2018","56.93","55.95","57.52","55.80","924.79K","1.79%"
"Mar 26, 2018","55.93","56.88","57.05","55.68","714.58K","-0.83%"
"Mar 23, 2018","56.40","56.76","57.59","56.29","709.19K","-0.41%"
"Mar 22, 2018","56.63","57.99","58.22","56.60","655.28K","-2.76%"
"Mar 21, 2018","58.24","58.76","59.38","58.13","692.28K","-1.22%"
"Mar 20, 2018","58.96","59.33","59.61","58.48","707.52K","-0.29%"
"Mar 19, 2018","59.13","58.85","59.32","58.60","1.07M","0.20%"
"Mar 16, 2018","59.01","59.03","59.86","58.87","1.03M","-0.20%"
"Mar 15, 2018","59.13","60.03","60.37","59.10","814.49K","-1.25%"
"Mar 14, 2018","59.88","62.02","62.15","59.68","720.25K","-3.11%"
"Mar 13, 2018","61.80","63.00","63.72","61.54","886.30K","-1.55%"
"Mar 12, 2018","62.77","61.70","62.86","61.44","1.38M","1.54%"
"Mar 09, 2018","61.82","60.96","61.87","60.24","661.93K","2.28%"
"Mar 08, 2018","60.44","59.96","62.29","59.87","766.11K","0.82%"
"Mar 07, 2018","59.95","60.68","61.37","59.77","628.07K","-1.93%"
"Mar 06, 2018","61.13","62.33","62.61","60.60","758.81K","-1.42%"
"Mar 05, 2018","62.01","60.58","62.28","60.06","1.28M","2.23%"
"Mar 02, 2018","60.66","59.42","61.52","58.52","1.55M","1.03%"
"Mar 01, 2018","60.04","58.46","60.71","57.58","2.23M","3.98%"
"Feb 28, 2018","57.74","54.00","59.15","54.00","4.42M","2.45%"
"Feb 27, 2018","56.36","57.70","59.48","56.28","1.65M","-1.59%"
"Feb 26, 2018","57.27","57.52","58.04","56.24","1.04M","0.12%"
"Feb 23, 2018","57.20","56.77","58.00","56.77","900.03K","1.44%"
"Feb 22, 2018","56.39","57.40","58.10","55.98","626.35K","-0.93%"
"Feb 21, 2018","56.92","57.52","58.37","56.90","807.26K","-0.72%"
"Feb 20, 2018","57.33","56.85","57.70","55.69","1.13M","0.02%"
"Feb 16, 2018","57.32","59.18","59.30","57.31","1.15M","-3.79%"
"Feb 15, 2018","59.58","59.26","60.10","58.75","471.11K","1.53%"
"Feb 14, 2018","58.68","57.35","59.33","57.17","509.03K","2.05%"
"Feb 13, 2018","57.50","57.88","58.39","57.03","794.05K","-0.91%"
"Feb 12, 2018","58.03","57.20","58.23","56.49","743.72K","1.61%"
"Feb 09, 2018","57.11","56.40","57.62","55.06","1.28M","1.38%"
"Feb 08, 2018","56.33","57.50","58.97","56.28","920.45K","-2.20%"
"Feb 07, 2018","57.60","57.75","58.57","57.17","738.64K","-0.24%"
"Feb 06, 2018","57.74","56.26","59.39","55.73","1.15M","0.57%"
"Feb 05, 2018","57.41","60.52","60.95","56.62","2.10M","-6.15%"
"Feb 02, 2018","61.17","63.23","63.41","61.00","955.80K","-3.99%"
"Feb 01, 2018","63.71","64.71","65.25","63.65","485.14K","-1.82%"
"Jan 31, 2018","64.89","64.32","65.45","64.00","632.49K","1.39%"
"Jan 30, 2018","64.00","64.03","64.62","63.66","754.66K","-0.70%"
"Jan 29, 2018","64.45","64.90","65.04","63.00","960.36K","-1.44%"
"Jan 26, 2018","65.39","65.07","65.53","63.96","883.09K","0.74%"
"Jan 25, 2018","64.91","66.03","66.23","64.63","973.82K","-1.62%"
"Jan 24, 2018","65.98","69.20","69.20","64.60","1.41M","-3.85%"
"Jan 23, 2018","68.62","68.08","69.45","66.22","2.25M","1.51%"
"Jan 22, 2018","67.60","62.55","67.76","62.44","2.57M","7.73%"
"Jan 19, 2018","62.75","63.97","64.65","61.17","1.80M","-1.61%"
"Jan 18, 2018","63.78","58.02","63.98","58.02","2.65M","7.94%"
"Jan 17, 2018","59.09","60.13","60.22","58.12","1.75M","-2.25%"
"Jan 16, 2018","60.45","61.21","61.98","60.32","828.28K","-0.97%"
"Jan 12, 2018","61.04","60.07","61.18","59.95","802.54K","1.89%"
"Jan 11, 2018","59.91","59.15","60.05","59.00","629.38K","1.23%"
