"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","54.66","54.99","54.99","54.44","1.62M","-0.31%"
"Apr 19, 2018","54.83","54.68","55.05","54.22","1.78M","-0.42%"
"Apr 18, 2018","55.06","54.16","55.43","53.57","2.97M","1.18%"
"Apr 17, 2018","54.42","55.00","55.00","54.12","1.27M","-0.51%"
"Apr 16, 2018","54.70","55.54","55.57","54.54","2.46M","-0.67%"
"Apr 13, 2018","55.07","56.19","56.31","54.96","2.41M","-1.92%"
"Apr 12, 2018","56.15","55.96","56.96","55.94","1.00M","0.47%"
"Apr 11, 2018","55.89","56.09","56.24","55.80","1.18M","-0.57%"
"Apr 10, 2018","56.21","56.61","56.77","55.97","2.25M","0.21%"
"Apr 09, 2018","56.09","56.22","56.71","56.02","1.71M","0.23%"
"Apr 06, 2018","55.96","56.36","57.15","55.77","1.50M","-1.11%"
"Apr 05, 2018","56.59","58.13","58.15","56.27","2.89M","-2.21%"
"Apr 04, 2018","57.87","56.62","58.01","56.33","1.12M","1.26%"
"Apr 03, 2018","57.15","56.60","57.37","56.51","907.20K","1.22%"
"Apr 02, 2018","56.46","56.73","57.14","55.77","1.49M","-0.81%"
"Mar 29, 2018","56.92","56.12","57.29","55.63","1.17M","2.36%"
"Mar 28, 2018","55.61","56.45","56.53","55.12","2.57M","-1.70%"
"Mar 27, 2018","56.57","57.87","57.95","56.18","970.96K","-1.55%"
"Mar 26, 2018","57.46","58.25","58.41","56.81","1.02M","1.68%"
"Mar 23, 2018","56.51","57.18","57.58","56.49","987.40K","-0.98%"
"Mar 22, 2018","57.07","57.82","58.06","57.04","938.55K","-1.72%"
"Mar 21, 2018","58.07","58.55","58.91","58.07","1.08M","-0.55%"
"Mar 20, 2018","58.39","57.56","59.06","57.40","2.21M","1.49%"
"Mar 19, 2018","57.53","58.01","58.43","57.11","939.59K","-0.28%"
"Mar 16, 2018","57.69","57.43","58.75","57.34","1.24M","0.45%"
"Mar 15, 2018","57.43","58.10","58.15","57.28","985.07K","-1.15%"
"Mar 14, 2018","58.10","57.36","58.30","57.28","1.50M","1.18%"
"Mar 13, 2018","57.42","59.77","59.77","57.20","1.81M","-2.89%"
"Mar 12, 2018","59.13","59.43","59.62","58.93","1.13M","-0.34%"
"Mar 09, 2018","59.33","59.29","59.85","59.14","1.57M","0.71%"
"Mar 08, 2018","58.91","58.11","58.98","57.88","1.54M","1.74%"
"Mar 07, 2018","57.90","57.43","58.13","57.02","1.25M","0.17%"
"Mar 06, 2018","57.80","58.04","58.12","57.49","909.04K","-0.22%"
"Mar 05, 2018","57.93","57.06","58.23","57.02","1.55M","0.75%"
"Mar 02, 2018","57.50","58.09","58.09","56.87","2.09M","-1.56%"
"Mar 01, 2018","58.41","58.65","59.61","57.96","2.07M","-0.31%"
"Feb 28, 2018","58.59","59.16","59.59","58.59","1.80M","-0.46%"
"Feb 27, 2018","58.86","58.76","59.13","58.08","1.88M","-0.27%"
"Feb 26, 2018","59.02","59.68","59.68","58.86","2.42M","-0.74%"
"Feb 23, 2018","59.46","58.72","59.55","58.53","1.69M","1.75%"
"Feb 22, 2018","58.44","58.94","59.12","58.25","1.14M","-0.38%"
"Feb 21, 2018","58.66","59.52","59.77","58.64","2.26M","-0.96%"
"Feb 20, 2018","59.23","58.62","61.26","58.62","3.69M","0.36%"
"Feb 16, 2018","59.02","58.29","59.27","58.01","1.58M","1.25%"
"Feb 15, 2018","58.29","57.99","58.38","57.07","1.95M","1.01%"
"Feb 14, 2018","57.71","57.53","58.47","57.15","1.87M","-0.12%"
"Feb 13, 2018","57.78","58.62","59.52","57.06","3.27M","-3.62%"
"Feb 12, 2018","59.95","60.21","61.17","58.51","7.87M","6.09%"
"Feb 09, 2018","56.51","56.84","57.05","55.04","3.50M","0.14%"
"Feb 08, 2018","56.43","59.07","59.14","56.40","2.70M","-4.73%"
"Feb 07, 2018","59.23","57.88","59.57","57.63","2.01M","1.91%"
"Feb 06, 2018","58.12","55.88","58.36","55.36","2.53M","2.27%"
"Feb 05, 2018","56.83","58.52","58.93","56.64","2.33M","-3.74%"
"Feb 02, 2018","59.04","59.40","59.81","58.99","2.04M","-1.91%"
"Feb 01, 2018","60.19","60.28","60.63","59.56","1.32M","-0.33%"
"Jan 31, 2018","60.39","60.45","60.84","60.35","1.23M","0.32%"
"Jan 30, 2018","60.20","60.38","60.42","59.30","1.56M","-0.46%"
"Jan 29, 2018","60.48","61.40","61.59","60.45","1.48M","-1.90%"
"Jan 26, 2018","61.65","61.85","62.07","61.50","1.05M","-0.48%"
"Jan 25, 2018","61.95","61.72","62.19","61.42","1.23M","0.52%"
"Jan 24, 2018","61.63","61.67","62.45","61.31","1.35M","0.51%"
"Jan 23, 2018","61.32","61.12","61.48","60.25","2.19M","0.16%"
"Jan 22, 2018","61.22","61.47","61.61","60.95","1.61M","-0.58%"
"Jan 19, 2018","61.58","62.27","62.30","61.34","1.45M","-0.85%"
"Jan 18, 2018","62.11","62.29","62.50","61.93","661.98K","-0.32%"
"Jan 17, 2018","62.31","62.42","62.89","62.06","1.46M","0.44%"
"Jan 16, 2018","62.04","61.68","62.41","61.32","2.21M","1.34%"
"Jan 12, 2018","61.22","61.37","61.42","60.81","2.23M","0.03%"
"Jan 11, 2018","61.20","61.07","61.22","59.91","1.91M","0.18%"
"Jan 10, 2018","61.09","62.46","62.46","60.46","2.88M","-2.33%"
"Jan 09, 2018","62.55","62.99","63.25","62.15","1.11M","-0.84%"
"Jan 08, 2018","63.08","63.50","63.50","62.66","1.21M","-0.68%"
"Jan 05, 2018","63.51","64.18","64.18","63.00","1.62M","-0.55%"
"Jan 04, 2018","63.86","63.80","64.78","63.52","1.42M","0.31%"
"Jan 03, 2018","63.66","62.64","63.73","62.22","2.21M","1.95%"
"Jan 02, 2018","62.44","61.45","62.50","61.41","1.52M","1.56%"
"Dec 29, 2017","61.48","61.82","61.87","61.30","1.33M","-0.63%"
"Dec 28, 2017","61.87","61.31","61.89","61.04","693.66K","1.21%"
"Dec 27, 2017","61.13","60.90","61.34","60.65","663.17K","0.92%"
"Dec 26, 2017","60.57","61.16","61.34","60.51","654.73K","-1.16%"
"Dec 22, 2017","61.28","61.81","61.87","60.96","886.68K","-1.18%"
"Dec 21, 2017","62.01","61.41","62.18","61.24","1.62M","1.22%"
"Dec 20, 2017","61.26","61.18","61.41","60.35","1.18M","0.56%"
"Dec 19, 2017","60.92","61.24","61.26","60.37","2.65M","-0.23%"
"Dec 18, 2017","61.06","61.21","61.63","61.01","994.68K","0.10%"
"Dec 15, 2017","61.00","61.15","61.72","60.95","1.70M","-0.20%"
"Dec 14, 2017","61.12","61.45","62.04","61.08","1.20M","-0.68%"
"Dec 13, 2017","61.54","61.13","62.36","61.13","1.27M","0.89%"
"Dec 12, 2017","61.00","60.69","61.04","60.32","1.28M","0.91%"
"Dec 11, 2017","60.45","60.81","60.93","59.77","1.36M","-0.43%"
"Dec 08, 2017","60.71","61.49","61.49","60.65","1.09M","-0.61%"
"Dec 07, 2017","61.08","61.12","61.92","60.90","1.17M","-0.15%"
"Dec 06, 2017","61.17","60.87","61.74","60.72","2.11M","0.63%"
"Dec 05, 2017","60.79","61.21","61.66","60.44","2.98M","-0.26%"
"Dec 04, 2017","60.95","63.49","63.53","60.92","3.07M","-3.13%"
"Dec 01, 2017","62.92","62.91","63.32","62.25","2.63M","0.37%"
"Nov 30, 2017","62.69","64.63","64.63","61.57","3.94M","-2.75%"
"Nov 29, 2017","64.46","65.95","66.03","63.53","2.38M","-2.32%"
"Nov 28, 2017","65.99","65.95","66.53","65.77","916.27K","0.14%"
"Nov 27, 2017","65.90","66.19","66.19","65.77","1.28M","-0.26%"
"Nov 24, 2017","66.07","65.68","66.51","65.68","452.42K","0.32%"
"Nov 22, 2017","65.86","65.94","66.10","65.45","1.09M","-0.02%"
"Nov 21, 2017","65.87","65.60","66.29","65.60","665.88K","0.38%"
"Nov 20, 2017","65.62","65.23","65.91","64.84","938.66K","1.06%"
"Nov 17, 2017","64.93","64.85","65.31","64.72","1.28M","-0.37%"
"Nov 16, 2017","65.17","63.89","65.48","63.63","3.00M","2.78%"
"Nov 15, 2017","63.41","64.67","64.77","63.39","1.50M","-2.16%"
"Nov 14, 2017","64.81","65.33","65.33","64.53","1.51M","-0.63%"
"Nov 13, 2017","65.22","65.00","65.31","64.44","1.80M","0.15%"
"Nov 10, 2017","65.12","65.00","65.16","64.16","1.32M","0.28%"
"Nov 09, 2017","64.94","65.16","65.36","64.50","2.46M","-0.87%"
"Nov 08, 2017","65.51","65.79","66.04","65.42","1.01M","-0.03%"
"Nov 07, 2017","65.53","65.81","66.06","65.04","888.84K","-0.56%"
"Nov 06, 2017","65.90","65.82","66.11","65.55","1.27M","0.37%"
"Nov 03, 2017","65.66","65.59","66.12","65.39","866.15K","0.23%"
"Nov 02, 2017","65.51","64.68","65.86","64.58","1.29M","1.31%"
"Nov 01, 2017","64.66","65.07","65.89","64.62","1.12M","0.11%"
"Oct 31, 2017","64.59","64.53","65.06","64.22","1.85M","-0.02%"
"Oct 30, 2017","64.60","64.96","65.08","64.13","3.08M","-0.84%"
"Oct 27, 2017","65.15","66.03","66.16","64.68","1.99M","-0.35%"
"Oct 26, 2017","65.38","68.77","68.89","65.35","2.39M","-2.98%"
"Oct 25, 2017","67.39","66.75","67.50","66.16","1.29M","0.49%"
"Oct 24, 2017","67.06","66.94","67.40","66.79","799.07K","0.62%"
"Oct 23, 2017","66.65","67.59","67.65","66.33","1.40M","-1.16%"
"Oct 20, 2017","67.43","67.71","67.92","67.30","827.97K","-0.25%"
"Oct 19, 2017","67.60","67.44","67.74","67.08","704.52K","0.13%"
"Oct 18, 2017","67.51","67.23","67.91","67.05","1.05M","0.42%"
"Oct 17, 2017","67.23","66.77","67.56","66.77","1.41M","0.48%"
"Oct 16, 2017","66.91","66.84","68.40","66.42","1.77M","0.97%"
"Oct 13, 2017","66.27","66.03","66.37","65.90","1.00M","0.49%"
"Oct 12, 2017","65.95","65.75","66.54","65.57","852.42K","0.33%"
"Oct 11, 2017","65.73","65.22","65.95","65.05","1.25M","0.86%"
"Oct 10, 2017","65.17","65.32","65.57","64.77","1.01M","0.49%"
"Oct 09, 2017","64.85","65.50","65.50","64.74","663.73K","-0.98%"
"Oct 06, 2017","65.49","64.39","65.81","64.28","878.64K","1.77%"
"Oct 05, 2017","64.35","63.90","64.46","63.57","1.02M","0.56%"
"Oct 04, 2017","63.99","64.19","64.34","63.91","714.87K","-0.08%"
"Oct 03, 2017","64.04","64.36","64.93","63.97","1.01M","-0.36%"
"Oct 02, 2017","64.27","63.82","64.43","63.78","844.76K","0.61%"
"Sep 29, 2017","63.88","64.00","64.02","63.46","1.04M","0.00%"
"Sep 28, 2017","63.88","63.32","64.18","63.32","707.92K","0.02%"
"Sep 27, 2017","63.87","64.00","64.17","63.43","1.09M","0.02%"
"Sep 26, 2017","63.86","64.06","64.24","63.10","671.38K","-0.11%"
"Sep 25, 2017","63.93","64.73","64.73","63.77","748.52K","-1.34%"
"Sep 22, 2017","64.80","64.74","64.99","64.02","1.11M","-0.35%"
"Sep 21, 2017","65.03","65.53","65.69","64.95","1.07M","-0.84%"
"Sep 20, 2017","65.58","64.74","65.92","64.73","1.39M","1.11%"
"Sep 19, 2017","64.86","64.70","65.20","64.36","1.16M","0.64%"
"Sep 18, 2017","64.45","63.11","64.50","62.98","1.47M","2.27%"
"Sep 15, 2017","63.02","63.16","63.25","62.20","1.65M","-0.24%"
"Sep 14, 2017","63.17","63.20","63.29","62.69","946.97K","-0.36%"
"Sep 13, 2017","63.40","63.22","63.64","63.12","737.67K","0.09%"
"Sep 12, 2017","63.34","64.65","64.67","63.18","1.37M","-2.33%"
"Sep 11, 2017","64.85","63.41","64.97","62.99","1.93M","2.77%"
"Sep 08, 2017","63.10","63.00","63.88","62.74","1.85M","0.05%"
"Sep 07, 2017","63.07","61.85","64.35","61.16","2.13M","4.23%"
"Sep 06, 2017","60.51","60.67","60.83","60.18","822.99K","-0.30%"
"Sep 05, 2017","60.69","60.94","61.13","60.04","2.41M","-0.96%"
"Sep 01, 2017","61.28","61.32","61.85","61.05","1.01M","0.41%"
"Aug 31, 2017","61.03","60.83","61.22","60.28","673.69K","0.96%"
"Aug 30, 2017","60.45","60.84","60.95","60.32","648.39K","-0.46%"
"Aug 29, 2017","60.73","61.11","61.31","60.42","737.27K","-0.99%"
"Aug 28, 2017","61.34","61.47","61.55","61.06","630.69K","-0.05%"
"Aug 25, 2017","61.37","61.68","61.69","60.97","683.26K","-0.34%"
"Aug 24, 2017","61.58","61.97","62.13","61.49","613.43K","-0.29%"
"Aug 23, 2017","61.76","61.75","62.46","61.54","1.41M","-0.58%"
"Aug 22, 2017","62.12","61.79","62.66","61.47","1.19M","2.41%"
"Aug 21, 2017","60.66","60.71","60.87","60.25","619.24K","0.15%"
"Aug 18, 2017","60.57","59.96","61.10","59.68","1.68M","1.24%"
"Aug 17, 2017","59.83","60.29","60.50","59.83","720.21K","-0.88%"
"Aug 16, 2017","60.36","60.01","60.87","59.79","760.96K","0.97%"
"Aug 15, 2017","59.78","60.03","60.10","59.56","735.43K","-0.43%"
"Aug 14, 2017","60.04","59.88","60.59","59.79","654.48K","0.65%"
"Aug 11, 2017","59.65","59.57","60.12","59.42","732.47K","-0.08%"
"Aug 10, 2017","59.70","60.62","60.72","59.68","1.01M","-1.65%"
