"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","43.43","42.84","43.74","42.71","320.58K","0.65%"
"Apr 19, 2018","43.15","43.74","43.95","43.02","361.25K","-1.62%"
"Apr 18, 2018","43.86","43.96","44.19","43.63","328.43K","0.32%"
"Apr 17, 2018","43.72","43.67","43.94","43.14","360.07K","0.51%"
"Apr 16, 2018","43.50","43.88","44.24","43.45","478.96K","0.14%"
"Apr 13, 2018","43.44","43.50","43.68","43.14","213.17K","0.25%"
"Apr 12, 2018","43.33","43.59","44.00","43.32","257.10K","-0.07%"
"Apr 11, 2018","43.36","43.61","44.40","43.24","429.00K","-1.25%"
"Apr 10, 2018","43.91","44.13","44.14","43.54","614.78K","0.94%"
"Apr 09, 2018","43.50","43.52","44.10","43.21","981.01K","0.81%"
"Apr 06, 2018","43.15","42.64","43.59","42.34","647.72K","0.56%"
"Apr 05, 2018","42.91","41.94","42.99","41.56","447.80K","2.88%"
"Apr 04, 2018","41.71","41.46","42.50","41.35","744.55K","-0.88%"
"Apr 03, 2018","42.08","40.94","42.16","40.76","496.70K","3.29%"
"Apr 02, 2018","40.74","41.34","41.59","40.48","538.44K","-2.14%"
"Mar 29, 2018","41.63","40.99","41.84","40.72","551.44K","1.98%"
"Mar 28, 2018","40.82","41.06","41.46","40.62","382.49K","-0.58%"
"Mar 27, 2018","41.06","41.77","42.35","40.92","469.22K","-1.20%"
"Mar 26, 2018","41.56","40.61","41.68","40.31","468.36K","3.41%"
"Mar 23, 2018","40.19","40.09","40.78","39.77","561.34K","0.70%"
"Mar 22, 2018","39.91","40.90","41.26","39.88","424.10K","-3.78%"
"Mar 21, 2018","41.48","41.08","41.99","41.08","342.55K","1.02%"
"Mar 20, 2018","41.06","41.07","41.47","40.97","333.69K","-0.05%"
"Mar 19, 2018","41.08","40.99","41.15","40.32","724.06K","0.15%"
"Mar 16, 2018","41.02","41.08","41.28","40.85","594.77K","-0.24%"
"Mar 15, 2018","41.12","41.77","42.07","41.02","390.92K","-1.23%"
"Mar 14, 2018","41.63","42.30","42.41","41.22","556.12K","-1.28%"
"Mar 13, 2018","42.17","42.49","42.99","42.17","444.28K","-0.73%"
"Mar 12, 2018","42.48","42.33","42.73","41.99","509.47K","0.35%"
"Mar 09, 2018","42.33","41.71","42.42","41.47","491.26K","1.75%"
"Mar 08, 2018","41.60","41.41","41.90","41.36","408.31K","1.00%"
"Mar 07, 2018","41.19","41.00","41.57","40.80","649.71K","-0.44%"
"Mar 06, 2018","41.37","41.15","41.50","40.76","625.73K","0.95%"
"Mar 05, 2018","40.98","39.49","41.13","39.30","1.11M","3.62%"
"Mar 02, 2018","39.55","38.01","39.63","37.95","593.58K","2.91%"
"Mar 01, 2018","38.43","38.87","39.34","38.15","1.08M","-1.44%"
"Feb 28, 2018","38.99","39.01","39.45","38.66","1.04M","-0.03%"
"Feb 27, 2018","39.00","39.00","39.36","38.65","1.36M","0.00%"
"Feb 26, 2018","39.00","38.05","39.00","37.22","2.15M","2.93%"
"Feb 23, 2018","37.89","37.66","38.07","37.13","806.44K","0.69%"
"Feb 22, 2018","37.63","38.45","38.84","37.31","820.70K","-2.21%"
"Feb 21, 2018","38.48","37.31","38.84","37.13","1.28M","3.19%"
"Feb 20, 2018","37.29","37.50","37.94","36.58","1.89M","-1.95%"
"Feb 16, 2018","38.03","38.50","39.24","37.30","5.57M","-7.72%"
"Feb 15, 2018","41.21","40.10","41.29","39.81","3.99M","3.96%"
"Feb 14, 2018","39.64","38.19","39.99","38.16","1.08M","3.74%"
"Feb 13, 2018","38.21","39.13","39.13","37.60","1.27M","-2.58%"
"Feb 12, 2018","39.22","39.70","40.08","38.86","743.04K","-0.91%"
"Feb 09, 2018","39.58","40.43","40.48","38.54","780.96K","-1.27%"
"Feb 08, 2018","40.09","39.96","40.22","39.30","1.44M","0.55%"
"Feb 07, 2018","39.87","40.30","40.58","39.75","513.26K","-1.26%"
"Feb 06, 2018","40.38","39.19","40.49","39.00","776.69K","0.92%"
"Feb 05, 2018","40.01","41.26","41.99","40.01","834.30K","-4.53%"
"Feb 02, 2018","41.91","42.67","42.99","41.68","465.05K","-2.40%"
"Feb 01, 2018","42.94","43.49","43.49","42.37","513.92K","-1.76%"
"Jan 31, 2018","43.71","43.66","44.05","43.32","760.23K","0.74%"
"Jan 30, 2018","43.39","43.24","43.83","43.00","478.05K","-0.57%"
"Jan 29, 2018","43.64","43.83","44.43","43.33","1.30M","-0.43%"
"Jan 26, 2018","43.83","44.82","44.86","43.81","1.24M","-1.95%"
"Jan 25, 2018","44.70","45.00","45.32","44.10","687.76K","-0.42%"
"Jan 24, 2018","44.89","44.46","44.95","43.67","690.90K","0.74%"
"Jan 23, 2018","44.56","43.12","44.95","42.90","578.90K","3.63%"
"Jan 22, 2018","43.00","43.64","43.75","42.72","594.79K","-1.15%"
"Jan 19, 2018","43.50","43.53","43.74","43.10","330.26K","-0.21%"
"Jan 18, 2018","43.59","43.54","43.85","43.12","630.84K","0.11%"
"Jan 17, 2018","43.54","42.78","43.87","42.78","547.67K","2.30%"
"Jan 16, 2018","42.56","43.65","43.82","42.26","742.33K","-1.37%"
"Jan 12, 2018","43.15","43.47","43.90","42.94","405.34K","-0.76%"
"Jan 11, 2018","43.48","44.06","44.41","43.04","702.07K","-1.72%"
"Jan 10, 2018","44.24","43.14","44.92","42.97","603.52K","1.89%"
"Jan 09, 2018","43.42","43.50","44.10","43.32","553.81K","-0.23%"
"Jan 08, 2018","43.52","44.13","44.13","42.50","736.76K","-1.47%"
"Jan 05, 2018","44.17","45.81","45.95","44.09","732.31K","-2.69%"
"Jan 04, 2018","45.39","47.00","47.38","45.12","758.26K","-3.59%"
"Jan 03, 2018","47.08","44.96","47.39","44.65","1.12M","7.78%"
"Jan 02, 2018","43.68","43.37","44.18","43.24","567.23K","1.11%"
"Dec 29, 2017","43.20","44.31","44.66","43.19","577.47K","-2.92%"
"Dec 28, 2017","44.50","44.41","44.68","44.12","330.49K","0.36%"
"Dec 27, 2017","44.34","44.65","44.99","44.27","312.28K","-0.92%"
"Dec 26, 2017","44.75","44.61","44.98","44.31","660.73K","-0.09%"
"Dec 22, 2017","44.79","44.45","45.45","43.80","637.39K","-3.05%"
"Dec 21, 2017","46.20","46.00","46.48","45.63","294.67K","0.17%"
"Dec 20, 2017","46.12","46.08","46.31","45.63","314.11K","0.20%"
"Dec 19, 2017","46.03","45.84","46.69","45.69","443.48K","1.12%"
"Dec 18, 2017","45.52","45.81","46.23","45.50","989.10K","-0.20%"
"Dec 15, 2017","45.61","45.02","45.74","45.02","1.85M","1.58%"
"Dec 14, 2017","44.90","45.78","45.82","44.90","924.93K","-1.77%"
"Dec 13, 2017","45.71","45.74","46.42","45.56","643.36K","-0.07%"
"Dec 12, 2017","45.74","46.55","46.60","45.70","815.27K","-1.63%"
"Dec 11, 2017","46.50","46.32","46.90","46.27","691.75K","0.43%"
"Dec 08, 2017","46.30","45.36","46.56","45.00","975.95K","2.73%"
"Dec 07, 2017","45.07","43.55","45.76","43.20","1.67M","7.87%"
"Dec 06, 2017","41.78","42.00","43.04","41.58","657.59K","-1.25%"
