"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","17.15","17.40","17.43","17.10","2.39M","-1.38%"
"Apr 19, 2018","17.39","17.54","17.69","17.19","2.65M","-1.36%"
"Apr 18, 2018","17.63","17.41","17.75","17.38","3.19M","1.79%"
"Apr 17, 2018","17.32","17.43","17.53","17.20","5.29M","0.12%"
"Apr 16, 2018","17.30","17.31","17.62","17.20","3.66M","0.23%"
"Apr 13, 2018","17.26","17.38","17.54","17.16","4.48M","-0.12%"
"Apr 12, 2018","17.28","17.02","17.36","16.96","4.06M","2.37%"
"Apr 11, 2018","16.88","17.02","17.14","16.86","2.42M","-1.29%"
"Apr 10, 2018","17.10","17.28","17.34","17.02","1.97M","0.00%"
"Apr 09, 2018","17.10","17.17","17.36","17.06","1.63M","0.47%"
"Apr 06, 2018","17.02","17.32","17.44","16.92","2.80M","-2.07%"
"Apr 05, 2018","17.38","17.38","17.54","17.16","3.92M","0.29%"
"Apr 04, 2018","17.33","16.91","17.39","16.77","2.24M","1.17%"
"Apr 03, 2018","17.13","16.99","17.23","16.89","6.61M","1.30%"
"Apr 02, 2018","16.91","17.54","17.66","16.77","5.57M","-3.65%"
"Mar 29, 2018","17.55","17.44","17.70","17.35","2.52M","0.75%"
"Mar 28, 2018","17.42","17.20","17.63","17.20","2.48M","1.52%"
"Mar 27, 2018","17.16","17.13","17.45","17.06","3.13M","0.23%"
"Mar 26, 2018","17.12","16.94","17.19","16.87","2.34M","1.97%"
"Mar 23, 2018","16.79","17.22","17.35","16.78","3.00M","-2.21%"
"Mar 22, 2018","17.17","17.22","17.49","17.04","3.17M","-1.15%"
"Mar 21, 2018","17.37","17.38","17.50","17.32","3.17M","0.29%"
"Mar 20, 2018","17.32","17.11","17.34","17.04","2.25M","0.93%"
"Mar 19, 2018","17.16","17.07","17.21","17.00","2.03M","0.35%"
"Mar 16, 2018","17.10","16.85","17.15","16.81","3.57M","2.03%"
"Mar 15, 2018","16.76","17.02","17.16","16.75","2.48M","-1.35%"
"Mar 14, 2018","16.99","17.00","17.12","16.86","2.27M","-0.06%"
"Mar 13, 2018","17.00","17.36","17.49","16.96","3.67M","-2.02%"
"Mar 12, 2018","17.35","17.46","17.65","17.29","3.79M","-0.97%"
"Mar 09, 2018","17.52","17.36","17.58","17.07","3.87M","2.34%"
"Mar 08, 2018","17.12","16.95","17.40","16.85","6.06M","2.95%"
"Mar 07, 2018","16.63","16.45","16.81","16.39","3.21M","0.18%"
"Mar 06, 2018","16.60","16.27","16.64","16.19","5.01M","2.03%"
"Mar 05, 2018","16.27","16.11","16.36","15.97","3.20M","0.81%"
"Mar 02, 2018","16.14","15.87","16.52","15.81","7.86M","1.00%"
"Mar 01, 2018","15.98","16.22","16.35","15.82","3.28M","0.19%"
"Feb 28, 2018","15.95","16.23","16.31","15.94","3.02M","-2.03%"
"Feb 27, 2018","16.28","16.57","16.80","16.27","3.11M","-2.05%"
"Feb 26, 2018","16.62","16.95","17.02","16.53","7.28M","-1.54%"
"Feb 23, 2018","16.88","16.98","17.25","16.49","8.24M","0.00%"
"Feb 22, 2018","16.88","16.11","17.11","15.99","11.17M","4.07%"
"Feb 21, 2018","16.22","16.25","16.44","15.96","10.18M","0.75%"
"Feb 20, 2018","16.10","16.41","16.49","15.93","6.60M","-1.77%"
"Feb 16, 2018","16.39","16.51","16.75","16.17","9.95M","4.39%"
"Feb 15, 2018","15.70","15.77","15.94","15.37","6.60M","-0.32%"
"Feb 14, 2018","15.75","15.37","15.87","15.37","2.35M","1.81%"
"Feb 13, 2018","15.47","15.62","15.72","15.29","3.25M","-1.65%"
"Feb 12, 2018","15.73","15.85","16.14","15.52","4.84M","0.45%"
"Feb 09, 2018","15.66","15.56","15.78","15.35","6.60M","1.16%"
"Feb 08, 2018","15.48","15.83","15.99","15.42","4.88M","-2.40%"
"Feb 07, 2018","15.86","15.63","16.02","15.43","3.32M","0.83%"
"Feb 06, 2018","15.73","15.02","15.91","14.80","5.09M","2.81%"
"Feb 05, 2018","15.30","15.80","15.91","15.20","4.55M","-3.59%"
"Feb 02, 2018","15.87","16.35","16.35","15.85","2.36M","-3.05%"
"Feb 01, 2018","16.37","16.06","16.43","16.03","2.55M","1.17%"
"Jan 31, 2018","16.18","16.13","16.39","16.11","2.97M","1.00%"
"Jan 30, 2018","16.02","16.21","16.35","15.85","4.77M","-2.08%"
"Jan 29, 2018","16.36","16.44","16.67","16.36","2.08M","-0.85%"
"Jan 26, 2018","16.50","16.63","16.63","16.30","2.37M","-0.72%"
"Jan 25, 2018","16.62","16.71","16.71","16.40","2.64M","-0.12%"
"Jan 24, 2018","16.64","16.79","16.87","16.54","2.66M","-1.01%"
"Jan 23, 2018","16.81","16.80","16.91","16.71","2.09M","0.06%"
"Jan 22, 2018","16.80","16.90","16.96","16.46","2.25M","-0.24%"
"Jan 19, 2018","16.84","16.84","17.03","16.77","3.47M","0.06%"
"Jan 18, 2018","16.83","16.79","17.02","16.77","2.02M","0.24%"
"Jan 17, 2018","16.79","16.94","16.97","16.75","2.54M","-0.18%"
"Jan 16, 2018","16.82","17.37","17.40","16.75","2.55M","-2.49%"
"Jan 12, 2018","17.25","16.93","17.38","16.86","3.53M","0.06%"
"Jan 11, 2018","17.24","17.33","17.38","17.06","4.78M","-0.52%"
"Jan 10, 2018","17.33","17.24","17.66","17.10","8.18M","-0.06%"
"Jan 09, 2018","17.34","16.67","17.36","16.55","6.85M","4.33%"
"Jan 08, 2018","16.62","16.73","16.73","16.38","1.92M","-1.01%"
"Jan 05, 2018","16.79","16.68","16.84","16.62","3.28M","1.70%"
"Jan 04, 2018","16.51","16.75","16.85","16.24","2.55M","-1.14%"
"Jan 03, 2018","16.70","16.91","16.91","16.36","3.07M","2.33%"
"Jan 02, 2018","16.32","16.41","16.50","16.24","2.58M","-0.61%"
"Dec 29, 2017","16.42","16.58","16.62","16.40","1.61M","-0.67%"
"Dec 28, 2017","16.53","16.48","16.57","16.41","1.85M","0.24%"
"Dec 27, 2017","16.49","16.52","16.71","16.46","5.46M","-0.12%"
"Dec 26, 2017","16.51","16.45","16.66","16.44","1.53M","0.43%"
"Dec 22, 2017","16.44","16.25","16.59","16.14","5.17M","0.55%"
"Dec 21, 2017","16.35","16.69","16.74","16.32","4.59M","-1.39%"
